,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime
X1,-1.5,-0.6685760030797071,0.11515232914146277,-5.806013721688359,6.397772097934397e-09,-0.8942704227131251,-0.44288158344628914,38.28103804588318
X2,0.1,0.11376778645823331,0.2357923600055525,0.4824914024167461,0.6294569045139348,-0.3483767506276894,0.575912323544156,38.28103804588318
X3,-0.5,-0.47303147805944457,0.17165099599684747,-2.7557747353131132,0.005855330749497854,-0.8094612507774097,-0.13660170534147942,38.28103804588318
X4,-0.3,-0.5262375059433472,0.14900886718808135,-3.531585172573132,0.0004130768090915387,-0.8182895213127679,-0.2341854905739265,38.28103804588318
X5,0.4,0.24260639440709322,0.14975023003801063,1.6200736008586645,0.105216467492334,-0.050898665459126274,0.5361114542733127,38.28103804588318
X6,-0.2,-0.19801628082188086,0.07740764283167394,-2.558097283138763,0.010524664464374956,-0.34973247409681985,-0.04630008754694187,38.28103804588318
X7,-0.25,-0.2126293412267311,0.05138697537965561,-4.137806120243307,3.506424622258743e-05,-0.31334596303974244,-0.11191271941371979,38.28103804588318
X8,0.35,0.10554161166073146,0.2609656292849425,0.4044272494807849,0.6858985654562015,-0.40594162697510155,0.6170248502965645,38.28103804588318
X9,-0.1,-0.174940705577887,0.18753261461500872,-0.9328548313424199,0.3508949263614526,-0.5424978790491779,0.19261646789340398,38.28103804588318
X10,0.5,0.4144327163757577,0.13292184059762163,3.117867722207671,0.00182164542244754,0.1539106939906808,0.6749547387608346,38.28103804588318
