,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime
X1,-1.5,-0.07120299622607569,0.10371472888736123,-0.6865273330985157,0.49238063424347034,-0.27448013111506375,0.1320741386629124,26.330084085464478
X2,0.1,-0.05601873300685636,0.2063405998145394,-0.27148672174650285,0.7860167108708772,-0.46043888038176023,0.34840141436804756,26.330084085464478
X3,-0.5,-0.2791051805129418,0.1476136183013815,-1.8907820546956249,0.0586534436516311,-0.5684225582933907,0.010212197267507106,26.330084085464478
X4,-0.3,-0.13946669021656705,0.12973499546589934,-1.0750121022914412,0.28236931001758325,-0.393742610869893,0.11480923043675889,26.330084085464478
X5,0.4,0.11442102439183897,0.13138522334436237,0.870881987177051,0.38381859297887866,-0.14308928349507088,0.37193133227874886,26.330084085464478
X6,-0.2,-0.09801953787870923,0.06449698677308623,-1.5197537556841576,0.12857287562586234,-0.2244313100624344,0.028392234305015945,26.330084085464478
X7,-0.25,-0.12950518533290467,0.0431609005954841,-3.0005209239413952,0.0026951823576076947,-0.21409899670763208,-0.044911373958177264,26.330084085464478
X8,0.35,0.18070930882152247,0.21997608857638357,0.821495236100508,0.41136423652610155,-0.2504359056490006,0.6118545232920456,26.330084085464478
X9,-0.1,-0.054925822296279216,0.15990278022277876,-0.34349510508670206,0.7312260226570815,-0.3683295150328376,0.25847787044027914,26.330084085464478
X10,0.5,0.3209861160957023,0.10945541031189121,2.932574234394245,0.0033616454622589433,0.10645745227916678,0.5355147799122378,26.330084085464478
