,Truth,Coef,Std.Err,z,P-value,[0.025,0.975]
X1,-1.5,,,,,,
X2,0.1,,,,,,
X3,-0.5,,,,,,
X4,-0.3,,,,,,
X5,0.4,,,,,,
X6,-0.2,,,,,,
X7,-0.25,,,,,,
X8,0.35,,,,,,
X9,-0.1,,,,,,
X10,0.5,,,,,,
