,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime
X1,-1.5,-0.4360547668367821,0.10612504350523211,-4.108877155044785,3.9758748285100076e-05,-0.6440560316054709,-0.22805350206809338,88.48053574562073
X2,0.1,0.5043028635807536,0.21813198823382046,2.311916136940815,0.020782305272907902,0.07677201939404188,0.9318337077674653,88.48053574562073
X3,-0.5,-0.45528067611847295,0.15348098149788433,-2.9663654198403,0.0030134221271866817,-0.7560978745389924,-0.1544634776979536,88.48053574562073
X4,-0.3,-0.27775322808302144,0.13767511245885694,-2.017454157998423,0.0436481403690073,-0.5475914921983325,-0.007914963967710353,88.48053574562073
X5,0.4,0.5188272071866382,0.1416649244036066,3.6623547386259685,0.0002499074668038804,0.24116905529284782,0.7964853590804286,88.48053574562073
X6,-0.2,-0.13119664903484107,0.06931011831221155,-1.8928931623498024,0.058372078752288774,-0.2670419857625165,0.00464868769283433,88.48053574562073
X7,-0.25,-0.1805943142625932,0.04619813327343465,-3.9091257907262777,9.263072357738091e-05,-0.2711409923457273,-0.09004763617945913,88.48053574562073
X8,0.35,-0.0048356312468206845,0.24261144782105848,-0.019931587277725135,0.9840979471423557,-0.48034533496397375,0.4706740724703324,88.48053574562073
X9,-0.1,0.22020741878768849,0.16818719089859607,1.3092995822758977,0.19043289108789474,-0.1094334206346875,0.5498482582100644,88.48053574562073
X10,0.5,0.41734256598547265,0.12165835107689046,3.4304473329718563,0.0006025869382164252,0.1788965775754061,0.6557885543955392,88.48053574562073
