,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime
X1,-1.5,-1.222012885945692,0.2373941690460726,-5.14761121073925,2.638245943136759e-07,-1.6872969110859086,-0.7567288608054754,47.31456279754639
X2,0.1,-0.3220648246978689,0.4840970768539987,-0.6652897530199342,0.5058651833348113,-1.2708776678369396,0.6267480184412019,47.31456279754639
X3,-0.5,0.4038180838862461,0.3122958414575716,1.2930626357415287,0.1959893966634738,-0.20827052272030172,1.015906690492794,47.31456279754639
X4,-0.3,-0.3521516478647765,0.2922609653622019,-1.204921934848027,0.2282334398994752,-0.9249726185799392,0.2206693228503862,47.31456279754639
X5,0.4,-0.1702503596867,0.3027960896642997,-0.5622607606176523,0.5739383689580527,-0.7637197947694996,0.4232190753960996,47.31456279754639
X6,-0.2,-0.20620075340860244,0.14823717270218967,-1.391019200176344,0.16421960457503315,-0.4967402753666769,0.08433876854947203,47.31456279754639
X7,-0.25,-0.46834086983655243,0.11153026192128038,-4.199226844523274,2.6782790478642214e-05,-0.6869361681128328,-0.24974557156027205,47.31456279754639
X8,0.35,0.7775786143281236,0.49877760233792723,1.5589685877701174,0.11900381509727985,-0.20000753026052964,1.7551647589167767,47.31456279754639
X9,-0.1,0.23922406127742377,0.36512870944372167,0.655177352780297,0.5123535737432772,-0.47641506459873073,0.9548631871535783,47.31456279754639
X10,0.5,0.5682882499459568,0.2467715924623052,2.3028916913633966,0.021284937758669603,0.08462481249716725,1.0519516873947463,47.31456279754639
