,0.975],Coef,P-value,Std.Err,Truth,[0.025,z
X1,0.7983956456410596,-0.5499228373760038,0.42406574649889184,0.6879302288292353,-1.5,-1.8982413203930673,-0.7993875168298659
X2,2.211024468231572,-0.24046292859758256,0.8475463080447153,1.250781849477416,0.1,-2.6919503254267374,-0.19225009436941332
X3,2.3675469403391167,0.629864430047332,0.47743402098339194,0.8865889936201811,-0.5,-1.1078180802444526,0.7104356523482501
X4,0.5361423183275671,-1.2694440929444142,0.16820899134679546,0.9212344774046775,-0.3,-3.0750305042163957,-1.3779815281346404
X5,4.290696009931082,2.3324702661210095,0.019567426068972674,0.9991131183073121,0.4,0.37424452231093674,2.3345407275531107
X6,0.8537178623989969,0.06247641205932791,0.8770115313083675,0.40370203245552927,-0.2,-0.728765038280341,0.15475872558607975
X7,-0.10826679337114442,-0.7342018083323292,0.021506344263315446,0.31936046527445644,-0.25,-1.360136823293514,-2.298975258886101
X8,3.919943364628705,1.33764809601825,0.30997433650514905,1.3175217854054742,0.35,-1.244647172592205,1.0152758844944503
X9,0.5014436605268249,-1.4397017634235165,0.14604085469590078,0.9903985093350395,-0.1,-3.380847187373858,-1.4536590572921424
X10,2.49644669213981,1.0853836495775429,0.1316579787890944,0.7199433472054931,0.5,-0.32567939298472437,1.50759591541547
