,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime
X1,-1.5,-0.7524532846776707,0.04979791277237891,-15.110137007489783,1.3885074837241178e-51,-0.8500554009866735,-0.6548511683686679,529.7896990776062
X2,0.1,0.008825453084510809,0.10999155586911212,0.08023755109904011,0.9360483249680445,-0.20675403672293768,0.22440494289195928,529.7896990776062
X3,-0.5,-0.4963255624524189,0.07468802383563768,-6.645316571029628,3.025660535674465e-11,-0.6427114004014106,-0.34993972450342714,529.7896990776062
X4,-0.3,-0.2510628416209789,0.06542074852940499,-3.837663849231753,0.00012421035450488606,-0.37928515359166565,-0.12284052965029219,529.7896990776062
X5,0.4,0.4395049905154833,0.06565752850743434,6.693900920527622,2.1729857280818532e-11,0.31081859831193825,0.5681913827190284,529.7896990776062
X6,-0.2,-0.1899015589772783,0.033199853437439426,-5.719951726146074,1.0655432244232124e-08,-0.2549720765199358,-0.12483104143462079,529.7896990776062
X7,-0.25,-0.1989456179137909,0.022406620387279762,-8.878876621069205,6.75389701515296e-19,-0.24286178723452528,-0.1550294485930565,529.7896990776062
X8,0.35,0.38650476014029056,0.11268716672882675,3.4298915427555774,0.0006038225528359282,0.16564197008979237,0.6073675501907887,529.7896990776062
X9,-0.1,0.017893010701476544,0.08044413632617713,0.22242778055227905,0.8239808876671941,-0.13977460050892287,0.175560621911876,529.7896990776062
X10,0.5,0.3946676687318372,0.0571178727227549,6.909705314963657,4.856614992829768e-12,0.2827186944386556,0.5066166430250187,529.7896990776062
