"","Truth","Coef","Std.Err","z","P-value","[0.025","0.975]"
"X1",-1.5,-0.52450377297434,0.304140431581171,-1.72454471195277,0.0846095545459744,-1.1206080698179,0.0716005238692178
"X2",0.1,0.0794885363484723,0.247655427632459,0.320964240955138,0.748237489912327,-0.405907186215753,0.564884258912698
"X3",-0.5,-0.310428238088382,0.156321378727729,-1.98583354762413,0.0470518093849073,-0.616812512825096,-0.00404396335166729
"X4",-0.3,-0.192269795494485,0.140365418238727,-1.36978037686948,0.170755469381021,-0.467380962087333,0.0828413710983622
"X5",0.4,0.281493646031534,0.147648831344944,1.90650778246863,0.0565843569419881,-0.00789274804662843,0.570880040109696
"X6",-0.2,-0.238016354819576,0.0733269947658253,-3.24595813014971,0.00117056054020226,-0.381734624788782,-0.0942980848503696
"X7",-0.25,-0.219911149635375,0.0493136384744927,-4.45943873618499,8.21745570365007e-06,-0.316564105754396,-0.123258193516355
"X8",0.35,0.271306732936866,0.239346283433748,1.13353225729935,0.256990802881717,-0.197803366127076,0.740416832000807
"X9",-0.1,-0.289406292714574,0.179587375150881,-1.61150689168116,0.107069286335518,-0.641391082864794,0.0625784974356471
"X10",0.5,0.537060375274233,0.121946074953262,4.40408086508789,1.06233314273175e-05,0.298050458424539,0.776070292123928
