"","Truth","Coef","Std.Err","z","P-value","[0.025","0.975]"
"X1",-1.5,-0.413919151721315,0.22855197155206,-1.81105045347216,0.0701330420666407,-0.861872788092377,0.0340344846497463
"X2",0.1,-0.176401340452813,0.224012426755394,-0.787462298443964,0.431011290200888,-0.615457632446021,0.262654951540396
"X3",-0.5,-0.551737427200931,0.164485519236109,-3.35432219056891,0.000795596669453908,-0.874123123425013,-0.229351730976849
"X4",-0.3,-0.224418683364705,0.139033237326188,-1.61413693358944,0.106497727796964,-0.49691882332749,0.0480814565980791
"X5",0.4,0.331125939358321,0.141500449402597,2.34010521349088,0.0192783080553559,0.0537901525454086,0.608461726171233
"X6",-0.2,-0.126126972089764,0.0691956731926202,-1.8227580753303,0.0683400400721025,-0.261748000503065,0.00949405632353614
"X7",-0.25,-0.175781279428611,0.0467222067523455,-3.76226406343245,0.00016838212776478,-0.267355122663765,-0.0842074361934565
"X8",0.35,0.566218589284557,0.236051487087182,2.39870799490212,0.0164530293388996,0.103566172447215,1.0288710061219
"X9",-0.1,-0.019236003893076,0.1711348076239,-0.112402638365367,0.910504163473441,-0.354654065982846,0.316182058196694
"X10",0.5,0.409923374762285,0.117318064655574,3.49411981833957,0.000475627502023696,0.179984191487687,0.639862558036883
