"","Truth","Coef","Std.Err","z","P-value","[0.025","0.975]"
"X1",-1.5,-0.671885792689647,0.474065941429765,-1.41728340716328,0.156400084415127,-1.60103797151809,0.2572663861388
"X2",0.1,0.113680784925078,0.242509893270799,0.468767617649874,0.639235748757666,-0.36162987552953,0.588991445379686
"X3",-0.5,-0.472817957894197,0.172906371846426,-2.7345317170506,0.00624690767448671,-0.811708222083807,-0.133927693704588
"X4",-0.3,-0.527261957855326,0.151927214334587,-3.47049052511517,0.000519508671235436,-0.825033828571401,-0.229490087139251
"X5",0.4,0.243340349630345,0.152128962779477,1.59956621792712,0.109694847737614,-0.054826940774771,0.541507640035461
"X6",-0.2,-0.198694322086113,0.0781261902373937,-2.54324857621192,0.0109827065619797,-0.351818842408556,-0.04556980176367
"X7",-0.25,-0.213198081475148,0.0522460720519883,-4.08065282425445,4.49093906325348e-05,-0.315598501838451,-0.110797661111844
"X8",0.35,0.105567353417577,0.264740212275271,0.398758286511496,0.690071315710384,-0.413313931994313,0.624448638829467
"X9",-0.1,-0.174928302078147,0.189567749952533,-0.922774586510355,0.35612468716915,-0.546474267546113,0.196617663389819
"X10",0.5,0.415970919709612,0.133590073339042,3.11378614677385,0.00184703310907153,0.154139185207729,0.677802654211495
