"","Truth","Coef","Std.Err","z","P-value","[0.025","0.975]"
"X1",-1.5,-0.227056910861328,0.172865682823311,-1.31348748434591,0.189018735517404,-0.565867426030436,0.111753604307779
"X2",0.1,-0.133953860712579,0.242402108900419,-0.552610129178407,0.580530404486997,-0.609053267681479,0.341145546256322
"X3",-0.5,-0.171819686964182,0.148996956555814,-1.15317581604305,0.248838227738351,-0.463848357923142,0.120208983994778
"X4",-0.3,-0.261952910067186,0.134589397659997,-1.94631163094241,0.0516173173019948,-0.525743284262465,0.00183746412809316
"X5",0.4,0.246336367774879,0.133712858556168,1.84227882370342,0.0654343756746146,-0.0157360213323028,0.508408756882061
"X6",-0.2,-0.16775642795542,0.0668309935819402,-2.51015911875883,0.0120676770815806,-0.298742769460254,-0.0367700864505863
"X7",-0.25,-0.277619804240883,0.0461082128622535,-6.02104889795364,1.73290392514933e-09,-0.367990241555237,-0.187249366926529
"X8",0.35,0.173995677535917,0.239249556287811,0.727256009313573,0.467069141037688,-0.294924839804167,0.642916194876
"X9",-0.1,-0.136133998629355,0.165521236622076,-0.822456389328346,0.410817197383238,-0.460549663644105,0.188281666385395
"X10",0.5,0.357189628671195,0.11732886998527,3.04434559640809,0.00233187095006258,0.127229267339385,0.587149990003005
