"","Truth","Coef","Std.Err","z","P-value","[0.025","0.975]"
"X1",-1.5,-2.37614431501953,0.784136225153592,-3.03026979088245,0.00244335373873331,-3.91302308741647,-0.839265542622597
"X2",0.1,-42.710237657848,47453132.8121258,-9.00050958214801e-07,0.999999281863236,-93006474.7092229,93006389.2887476
"X3",-0.5,0.0738800834124816,0.830205516217046,0.0889901138565389,0.929089766947162,-1.55329284097434,1.70105300779931
"X4",-0.3,0.733879149451249,0.80510785994373,0.911528983833968,0.362016721297548,-0.844103272155504,2.311861571058
"X5",0.4,0.900470643880906,0.790679870303102,1.13885616379195,0.254763151839725,-0.649233437437843,2.45017472519965
"X6",-0.2,-0.438323317386302,0.432799270684196,-1.01276353052392,0.311173124235767,-1.28659430715358,0.409947672380978
"X7",-0.25,-0.0185310767650056,0.350873759606546,-0.0528140855725019,0.957880038500513,-0.70623101413849,0.669168860608479
"X8",0.35,3.2801385008066,1.51173965379192,2.1697773770629,0.0300237149820801,0.317183202001985,6.24309379961122
"X9",-0.1,1.21482152772506,1.00054266908548,1.21416263919603,0.224685624145761,-0.746206084146392,3.17584913959652
"X10",0.5,0.183210390222634,0.791894975482756,0.231356929763249,0.817037522557543,-1.36887525350445,1.73529603394972
