"","Truth","Coef","Std.Err","z","P-value","[0.025","0.975]"
"X1",-1.5,-0.615198778220849,0.461407386223862,-1.33330934135149,0.18243030943108,-1.51954064455371,0.289143088112016
"X2",0.1,0.63433803779506,0.973250641133231,0.65177253523969,0.514547921761118,-1.27319818180299,2.54187425739311
"X3",-0.5,-0.816198897968532,0.753392999221169,-1.08336405941161,0.278646861832805,-2.29282205429405,0.660424258356988
"X4",-0.3,-0.195513126991257,0.604303606876452,-0.323534602088234,0.746290406701251,-1.37992644153926,0.988900187556741
"X5",0.4,0.500219004582869,0.59853041082496,0.835745344824522,0.40329817971832,-0.672879053539263,1.673317062705
"X6",-0.2,-0.429830892598713,0.304849429500311,-1.40997768407592,0.158546272389752,-1.02732479983986,0.167663014642435
"X7",-0.25,-0.161351193336137,0.241567103602742,-0.667935289738291,0.504174899741902,-0.634814019981783,0.312111633309508
"X8",0.35,-0.625560615102074,1.08446673164941,-0.576837072863112,0.564049523068501,-2.75107636833259,1.49995513812844
"X9",-0.1,0.0689731157100868,0.785243838121976,0.0878365577182318,0.93000658118668,-1.47007653823081,1.60802276965099
"X10",0.5,-0.175631056591171,0.522110472790076,-0.33638677204199,0.736579223275969,-1.1989487872827,0.847686674100358
