,Truth,0.975],Coef,P-value,Std.Err,[0.025,z,RunTime,Steps
X1,-1.5,268.15442020146367,265.7295659150363,0.0,1.237193278257862,263.3047116286089,214.7841978976963,101.06496047973633,7
X2,0.1,9.075758806732356,0.05798849651130721,0.9899441372357569,4.600987727438386,-8.959781813709743,0.01260348863038426,101.06496047973633,7
X3,-0.5,4.7845623447513,-0.453305423123086,0.8653067134730932,2.6724305996816193,-5.691173190997472,-0.1696228980378726,101.06496047973633,7
X4,-0.3,4.525747258376786,-0.1912757099363243,0.9366534491502032,2.4066885760723715,-4.908298678249434,-0.07947671827506629,101.06496047973633,7
X5,0.4,4.042353948128561,0.4049672227758904,0.8272639901855819,1.8558436406753749,-3.2324195025767803,0.2182119300893881,101.06496047973633,7
X6,-0.2,2.109903060831377,-0.1385447218326705,0.9038740481191511,1.1471883068587216,-2.386992504496718,-0.12076894525889945,101.06496047973633,7
X7,-0.25,1.1642329173542365,-0.22521399055941066,0.7507212299853084,0.708914504508066,-1.6146608984730577,-0.3176885070445729,101.06496047973633,7
X8,0.35,6.633594103872859,0.13877470543020745,0.9665955396008752,3.313744231242335,-6.356044693012445,0.04187852041259693,101.06496047973633,7
X9,-0.1,4.27515644654088,-0.1129278089646008,0.9597718577359258,2.2388596196182586,-4.501012064470082,-0.05043987929169753,101.06496047973633,7
X10,0.5,3.437682683886071,0.47189912798651107,0.7551479369256935,1.5131826686100152,-2.4938844279130485,0.31185866569565585,101.06496047973633,7
