,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime
X1,-1.5,-0.7589605506638771,0.20283468270145782,-3.7417691124399717,0.00018272936099692652,-1.156509226710157,-0.36141187461759705,17.445146083831787
X2,0.1,0.03374228339714063,0.5465128400828357,0.06174106246438101,0.9507690392096007,-1.0374032087029745,1.1048877754972557,17.445146083831787
X3,-0.5,-0.2251933886958782,0.3003327203354704,-0.7498130355038842,0.45336731666483565,-0.8138347085754682,0.36344793118371177,17.445146083831787
X4,-0.3,-0.416646553080311,0.2805888733849919,-1.48490048109868,0.13757018858616127,-0.9665906437154532,0.13329753755483126,17.445146083831787
X5,0.4,-0.012468053985836907,0.27984094450524505,-0.044554073414382785,0.9644627503850137,-0.560946230942115,0.5360101229704411,17.445146083831787
X6,-0.2,0.0015898099152729635,0.1501602484633559,0.01058742198113058,0.9915526172789676,-0.29271887130395996,0.2958984911345059,17.445146083831787
X7,-0.25,-0.10779257614403989,0.08923101453686112,-1.2080169289066083,0.22704075072197905,-0.28268215231976435,0.06709700003168459,17.445146083831787
X8,0.35,0.1138112704217019,0.4774595419357789,0.2383684070073736,0.8115953688309056,-0.8219922432289151,1.049614784072319,17.445146083831787
X9,-0.1,-0.061908191037782216,0.35291109775451196,-0.17542149122452957,0.8607484548560898,-0.7536012378371065,0.6297848557615421,17.445146083831787
X10,0.5,0.15508284148915222,0.24542444490331874,0.6318964744943999,0.527454527225041,-0.325940235241336,0.6361059182196405,17.445146083831787
