,Truth,0.975],Coef,P-value,Std.Err,[0.025,z,RunTime,Steps
X1,-1.5,-0.18634983636084101,-0.5580815345705318,0.0032557606341518026,0.1896625132960048,-0.9298132327802225,-2.9424978340318537,18.10144305229187,71
X2,0.1,0.7748965027836284,0.0024359670959700546,0.9950684833066455,0.3941197571423038,-0.7700245685916883,0.0061807789430117464,18.10144305229187,71
X3,-0.5,0.30667155359244724,-0.24018866788396387,0.38932416744047094,0.27901544185322336,-0.787048889360375,-0.8608436375013093,18.10144305229187,71
X4,-0.3,0.28292684182926453,-0.20835389771605575,0.4058450327914165,0.2506580424667597,-0.699634637261376,-0.8312276584689517,18.10144305229187,71
X5,0.4,0.40803744952807286,-0.09225536573682536,0.7177834578384572,0.25525612473744325,-0.5925481810017236,-0.3614227311165181,18.10144305229187,71
X6,-0.2,0.15494374564794322,-0.09816519123615458,0.4471661502512225,0.129139584647523,-0.3512741281202524,-0.7601479554397611,18.10144305229187,71
X7,-0.25,0.09884235793153702,-0.06031927621487641,0.45760906027324333,0.08120640692707286,-0.21948091036128986,-0.7427896208860212,18.10144305229187,71
X8,0.35,0.9090503237074822,0.04593938384109539,0.916915585844752,0.44037081286512747,-0.8171715560252913,0.10431977437879213,18.10144305229187,71
X9,-0.1,0.4455534666100383,-0.1540254926869889,0.6146169833883625,0.3059132511092179,-0.7536044519840162,-0.5034940203750714,18.10144305229187,71
X10,0.5,0.6498385814349974,0.22691076314603728,0.2929982657680543,0.21578346249673977,-0.1960170551429228,1.0515669760812445,18.10144305229187,71
