,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime,Steps
X1,-1.5,-0.23662365355462883,0.481585835908972,-0.4913426349178483,0.623184129890716,-1.1805145548461213,0.7072672477368636,15.27948522567749,210
X2,0.1,-0.008926289775846129,0.9975314989399308,-0.008948378858544347,0.9928603219478295,-1.9640521165641487,1.9461995370124563,15.27948522567749,210
X3,-0.5,-0.018800038129653317,0.6445783511129437,-0.029166412581484846,0.976731868708181,-1.282150401490383,1.2445503252310763,15.27948522567749,210
X4,-0.3,-0.22055503930378392,0.6572825295997847,-0.33555591297714626,0.7372057744376861,-1.5088051351482963,1.0676950565407286,15.27948522567749,210
X5,0.4,0.20222321808378735,0.5961609106789891,0.3392091203253632,0.7344521991260611,-0.9662307050542469,1.3706771412218215,15.27948522567749,210
X6,-0.2,0.042430187088010586,0.3040031749913018,0.13957152615009566,0.8889985392124926,-0.5534050917806412,0.6382654659566624,15.27948522567749,210
X7,-0.25,-0.3042631703044813,0.20156488451198712,-1.5095048477374375,0.131169817390895,-0.6993230876121337,0.09079674700317103,15.27948522567749,210
X8,0.35,0.04367895407135753,0.9347008890760554,0.04673040817852847,0.9627280945906168,-1.7883011392857044,1.8756590474284196,15.27948522567749,210
X9,-0.1,-0.09067864498653067,0.7043030600622963,-0.1287494689835794,0.8975558905357096,-1.471087287798469,1.2897299978254078,15.27948522567749,210
X10,0.5,0.09660788834723004,0.5010639318522714,0.19280551284164857,0.8471112858765659,-0.8854593797816752,1.0786751564761352,15.27948522567749,210
