,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime,Steps
X1,-1.5,0.03575011135357964,0.417018735282162,0.08572783026016925,0.9316827782152761,-0.7815915971249877,0.853091819832147,9.364598035812378,36
X2,0.1,0.021019454217665295,0.8361511225938845,0.025138343595664067,0.9799446160706874,-1.617806644625935,1.6598455530612657,9.364598035812378,36
X3,-0.5,-0.10496147005772319,0.6113446411021674,-0.1716895233897734,0.8636816226333138,-1.3031749582108916,1.093252018095445,9.364598035812378,36
X4,-0.3,0.07914513092270885,0.5460671986492461,0.14493661424543086,0.8847609176552556,-0.9911269200106622,1.1494171818560799,9.364598035812378,36
X5,0.4,0.01915280040674253,0.5253277836166605,0.036458761565747705,0.9709165603348892,-1.010470743681702,1.048776344495187,9.364598035812378,36
X6,-0.2,-0.07320420572140471,0.29634959076669154,-0.24701976315208246,0.8048929291514008,-0.6540387350388526,0.5076303235960431,9.364598035812378,36
X7,-0.25,0.06631436822070663,0.18012247884167565,0.3681626449244891,0.7127519621647129,-0.28671920589973937,0.41934794234115264,9.364598035812378,36
X8,0.35,-0.03469439666580705,0.935344854390848,-0.037092625787097634,0.9704111517534009,-1.8679366388571113,1.798547845525497,9.364598035812378,36
X9,-0.1,-0.025251417195385897,0.661999526111351,-0.038144162041497454,0.9695727406954237,-1.322746656390694,1.2722438219999221,9.364598035812378,36
X10,0.5,-0.0013104284001492828,0.4986431227603218,-0.002627988515905301,0.9979031709507555,-0.9786329978579607,0.9760121410576621,9.364598035812378,36
