,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime,Steps
X1,-1.5,0.32192559803094095,0.10362022895592293,3.106783311276786,0.001891349793950206,0.11883367960557442,0.5250175164563075,7.8685832023620605,6
X2,0.1,0.14930951397340522,0.21503482929855938,0.6943503731951274,0.4874625078376297,-0.27215101019791643,0.5707700381447268,7.8685832023620605,6
X3,-0.5,-0.26780968856415815,0.14991933172999183,-1.7863586068172286,0.07404121322884573,-0.5616461816589999,0.026026804530683567,7.8685832023620605,6
X4,-0.3,-0.2548484459488008,0.13133588357965031,-1.9404327210715777,0.05232712321188826,-0.5122620496731065,0.002565157775504978,7.8685832023620605,6
X5,0.4,0.3534526917578966,0.13489660989140173,2.620174754891491,0.008788471803446293,0.0890601926487053,0.6178451908670879,7.8685832023620605,6
X6,-0.2,-0.09504591509746627,0.0652423346089933,-1.4568135194286058,0.14516786298223341,-0.2229185422070472,0.03282671201211468,7.8685832023620605,6
X7,-0.25,-0.20987693568057045,0.04432427880696586,-4.735033289421212,2.1901914712069796e-06,-0.29675092646818646,-0.12300294489295442,7.8685832023620605,6
X8,0.35,0.43115269379073945,0.22913603614330832,1.881645074461723,0.0598842218854907,-0.017945688152843697,0.8802510757343226,7.8685832023620605,6
X9,-0.1,0.02866933097134616,0.1635900298153024,0.17525108959094032,0.8608823417596042,-0.2919612382255732,0.3492999001682655,7.8685832023620605,6
X10,0.5,0.5263742425750869,0.11530998461881263,4.564862655347279,4.998214608159076e-06,0.3003708238816604,0.7523776612685134,7.8685832023620605,6
