,Truth,0.975],Coef,P-value,Std.Err,[0.025,z,RunTime,Steps
X1,-1.5,0.15544185696275492,-0.04379174456356637,0.6666123129679224,0.10165166376847803,-0.24302534608988763,-0.4308020443551864,51.637383699417114,7
X2,0.1,0.40796436005340186,-0.053796550362507925,0.8193805570255972,0.23559662851762062,-0.5155574607784177,-0.22834176660759983,51.637383699417114,7
X3,-0.5,-0.0959787475665852,-0.37868657768947267,0.00865553903819009,0.14424133816890894,-0.6613944078123601,-2.6253678903479427,51.637383699417114,7
X4,-0.3,-0.039751390568705414,-0.2969859007239758,0.023645282064691162,0.13124450763140055,-0.5542204108792461,-2.2628444121872056,51.637383699417114,7
X5,0.4,0.741098282329733,0.4681266028229697,0.0007760576272000357,0.13927382314510026,0.19515492331620643,3.3611958963405444,51.637383699417114,7
X6,-0.2,-0.12720336777955693,-0.2618459167575251,0.00013804930469051718,0.06869643982132742,-0.3964884657354933,-3.811637363429025,51.637383699417114,7
X7,-0.25,-0.08863426035658313,-0.17784684304741388,9.33631742573531e-05,0.04551745985682939,-0.26705942573824465,-3.9072224945507354,51.637383699417114,7
X8,0.35,0.8804330584087041,0.4429353600579793,0.047219687215505256,0.22321721131139388,0.00543766170725446,1.9843244051645856,51.637383699417114,7
X9,-0.1,0.0810357355050037,-0.24577031055748488,0.14049077833243923,0.1667408411901895,-0.5725763566199735,-1.473965879044307,51.637383699417114,7
X10,0.5,0.7663537769985107,0.543523277031974,1.746847643815001e-06,0.11369111879939461,0.3206927770654373,4.78070127879565,51.637383699417114,7
