,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime,Steps
X1,-1.5,247.64720405799517,2.2016269184971233,112.48372827265591,0.0,243.33209455630987,251.96231355968047,66.05300092697144,41
X2,0.1,0.07315890869925334,4.7498640418632725,0.015402316372523924,0.987711215448507,-9.236403618247254,9.382721435645761,66.05300092697144,41
X3,-0.5,-0.33935970208144334,3.034219262878892,-0.11184415913286902,0.9109469732323324,-6.286320225430609,5.607600821267722,66.05300092697144,41
X4,-0.3,-0.1165960457243964,2.7141282369029742,-0.042958930288953964,0.9657342724914454,-5.436189681437697,5.202997589988905,66.05300092697144,41
X5,0.4,0.36010307445849427,2.716076352566983,0.13258208817221148,0.8945238989165507,-4.9633087978241,5.683514946741088,66.05300092697144,41
X6,-0.2,-0.11907134913596239,1.4340937686103385,-0.08302898439573067,0.9338284929621952,-2.929843508236556,2.6917008099646313,66.05300092697144,41
X7,-0.25,-0.21953070330462268,0.7475257895094524,-0.29367642746972644,0.7690051685826075,-1.6846543398147271,1.2455929332054816,66.05300092697144,41
X8,0.35,0.24830551795014758,4.759933191417341,0.05216575694756987,0.9583966177637543,-9.08099217963295,9.577603215533244,66.05300092697144,41
X9,-0.1,-0.2436310557025426,3.4271672749789115,-0.07108817170414938,0.9433275819665727,-6.960755536639311,6.473493425234225,66.05300092697144,41
X10,0.5,0.42085752663528175,2.3991803818407793,0.17541720906886435,0.8607518193555932,-4.2814496512788995,5.123164704549463,66.05300092697144,41
