,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime,Steps
X1,-1.5,-0.9081609312134156,0.47830254705008823,-1.89871648565215,0.05760176281471474,-1.8456167045398946,0.029294842113063546,9.445459127426147,25
X2,0.1,-0.055652081494217034,1.1015811170704024,-0.05052018469799196,0.9597078648784516,-2.2147114140319912,2.1034072510435573,9.445459127426147,25
X3,-0.5,-0.22244125769871778,0.733787987266938,-0.30314104558623406,0.7617823750265735,-1.6606392963743746,1.215756780976939,9.445459127426147,25
X4,-0.3,-0.1395565231013462,0.589473174482782,-0.23674787783820095,0.8128523894741941,-1.2949027240533177,1.0157896778506252,9.445459127426147,25
X5,0.4,0.029978112800974323,0.5668635450184215,0.05288417832549122,0.9578241906219949,-1.0810540283475112,1.14101025394946,9.445459127426147,25
X6,-0.2,-0.18264365963322307,0.3038454908586367,-0.6011070268546376,0.547768703450211,-0.7781698832784801,0.41288256401203405,9.445459127426147,25
X7,-0.25,0.04458285632523014,0.19331145854945822,0.23062707539306954,0.8176045314545942,-0.3343006432192002,0.42346635586966047,9.445459127426147,25
X8,0.35,0.15676754711183638,1.0194538522366203,0.15377601131026955,0.8777863490347932,-1.841325302933259,2.1548603971569316,9.445459127426147,25
X9,-0.1,0.2570133502694284,0.798783986573714,0.321755761994999,0.7476377302813539,-1.3085745071915342,1.8226012077303912,9.445459127426147,25
X10,0.5,0.0768144185588253,0.5500889354416618,0.1396399992978438,0.8889444353581872,-1.001340091705156,1.1549689288228067,9.445459127426147,25
