,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime,Steps
X1,-1.5,-0.3307501920281719,0.11400072660383267,-2.9012989818702803,0.003716191232856502,-0.5541875121455262,-0.10731287191081759,52.77850890159607,16
X2,0.1,0.5111536298659661,0.24597808590415401,2.0780453998049992,0.03770517782483167,0.029045436704916827,0.9932618230270154,52.77850890159607,16
X3,-0.5,-0.3273690890013234,0.15435956019613675,-2.120821597219844,0.03393681849719368,-0.6299082700415843,-0.02482990796106238,52.77850890159607,16
X4,-0.3,-0.34763247384612606,0.14374147366931042,-2.418456308899993,0.015586517239572982,-0.6293605875449224,-0.0659043601473297,52.77850890159607,16
X5,0.4,0.1586062356570294,0.13954208135344803,1.1366193919330578,0.2556974298543564,-0.11489122028080004,0.43210369159485884,52.77850890159607,16
X6,-0.2,-0.17956927582565205,0.07362404075576606,-2.439003265541203,0.014727835167024606,-0.3238697452414863,-0.03526880640981778,52.77850890159607,16
X7,-0.25,-0.2185288591550536,0.0467600733905805,-4.673407103742373,2.9624373169907584e-06,-0.3101769196379493,-0.1268807986721579,52.77850890159607,16
X8,0.35,0.7570684719634774,0.2501454933020003,3.0265125386427396,0.002473925602834966,0.2667923103293156,1.2473446335976393,52.77850890159607,16
X9,-0.1,-0.2433865024838734,0.1745120281594644,-1.3946689236885916,0.16311570023750865,-0.5854237952434098,0.09865079027566309,52.77850890159607,16
X10,0.5,0.272874836008669,0.12474964284059345,2.1873796974100492,0.028714817037324817,0.028370027028248118,0.51737964498909,52.77850890159607,16
