,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime,Steps
X1,-1.5,-20.264542098506944,2.239802592758679,-9.047467917048834,1.4632186198913897e-19,-24.654474547420616,-15.874609649593271,128.68024110794067,78
X2,0.1,0.25705794009511623,4.925199327651674,0.052192393240190135,0.9583753939893084,-9.396155434926369,9.910271315116601,128.68024110794067,78
X3,-0.5,-0.386938015357571,3.0740049646391974,-0.12587423241295473,0.8998314799706261,-6.411877081871671,5.638001051156529,128.68024110794067,78
X4,-0.3,-0.20532671270675493,2.82993768335515,-0.07255520639709682,0.9421600728391831,-5.751902694326248,5.341249268912738,128.68024110794067,78
X5,0.4,0.4038781687168901,2.8242504297961784,0.14300366725837316,0.8862872849099184,-5.131551000668147,5.939307338101927,128.68024110794067,78
X6,-0.2,-0.15359414394957618,1.4024752857260776,-0.10951647099439527,0.9127928583814261,-2.9023952148624024,2.59520692696325,128.68024110794067,78
X7,-0.25,-0.1945869320633362,0.9267975890356507,-0.20995623463566337,0.8337018313479766,-2.0110768418600062,1.6219029777333338,128.68024110794067,78
X8,0.35,0.23812959300146702,4.971336386846281,0.04790051898952905,0.9617955257733695,-9.505510757107318,9.981769943110253,128.68024110794067,78
X9,-0.1,-0.10243589410123194,3.5489002662360987,-0.02886412308505746,0.9769729593226144,-7.058152655514401,6.853280867311937,128.68024110794067,78
X10,0.5,0.35277662567663653,2.4355732235641105,0.14484336675388423,0.8848345415220439,-4.420859211872973,5.126412463226245,128.68024110794067,78
