,Truth,0.975],Coef,P-value,Std.Err,[0.025,z,RunTime,Steps
X1,-1.5,0.029248606864295756,-0.8210144574710385,0.05841876878268595,0.4338156539279978,-1.6712775218063727,-1.8925422585310987,6.377610921859741,93
X2,0.1,1.6604514484602688,-0.17570804004603321,0.8512252742940762,0.9368332727061833,-2.0118675285523353,-0.18755529416506975,6.377610921859741,93
X3,-0.5,1.1655312583126942,-0.166847865810246,0.8061176906348372,0.6797977534908499,-1.499226989933186,-0.24543750689592675,6.377610921859741,93
X4,-0.3,0.9744957316683355,-0.17010148659199129,0.7708408487941134,0.583988898908514,-1.314698704852318,-0.2912752055902331,6.377610921859741,93
X5,0.4,1.431811360774924,0.13552865325203536,0.8376364198091122,0.6613808761400152,-1.1607540542708532,0.20491770799756806,6.377610921859741,93
X6,-0.2,0.42206473158341173,-0.23014909010120596,0.48917618343402214,0.33276826599091497,-0.8823629117858237,-0.691619705430353,6.377610921859741,93
X7,-0.25,0.4257736507562562,-0.030703443489661503,0.8951182916693808,0.23290075442503924,-0.4871805377355791,-0.13183058837855172,6.377610921859741,93
X8,0.35,2.291880443960178,0.20120788671124568,0.8503840742419536,1.0666892643175754,-1.8894646705376867,0.188628397643029,6.377610921859741,93
X9,-0.1,1.4303253899813637,0.07376920038235742,0.9151203036575171,0.6921332175483867,-1.282786989216649,0.10658237245664379,6.377610921859741,93
X10,0.5,1.340372091904667,0.22983407814960355,0.6850151544733294,0.5666114345748512,-0.88070393560546,0.4056290856926604,6.377610921859741,93
