,Truth,0.975],Coef,P-value,Std.Err,[0.025,z,RunTime,Steps
X1,-1.5,332.8610408957849,328.63743523267897,0.0,2.15494042906194,324.413829569573,152.50418563808608,147.2391800880432,6
X2,0.1,6.931737552967711,-0.013108216831093039,0.9970483274488374,3.543353740068085,-6.957953986629898,-0.0036993813750137087,147.2391800880432,6
X3,-0.5,5.218385010188303,-0.4362517415205768,0.8798100502697784,2.885071741985506,-6.090888493229457,-0.15121001504813478,147.2391800880432,6
X4,-0.3,5.053466284210073,-0.2101941256788924,0.9376153633411531,2.685590352623296,-5.473854535567858,-0.07826738187139148,147.2391800880432,6
X5,0.4,4.8182066932447105,0.43231921940106616,0.8468065086569802,2.2377387920613057,-3.9535682544425783,0.19319467532796036,147.2391800880432,6
X6,-0.2,2.3918354078336175,-0.15140297234433103,0.9071138512407877,1.297594435498789,-2.694641352522279,-0.11667973305244059,147.2391800880432,6
X7,-0.25,1.551253453966292,-0.22067581117278784,0.8071583062642211,0.9040621486614447,-1.9926050763118677,-0.24409362951376812,147.2391800880432,6
X8,0.35,9.419513721135765,0.24648115981280336,0.9579991354795095,4.680204616678143,-8.926551401510157,0.052664611913431185,147.2391800880432,6
X9,-0.1,6.540647931667222,-0.02978435009175246,0.9929111362903309,3.3523229415228926,-6.600216631850727,-0.008884689992970079,147.2391800880432,6
X10,0.5,4.883835738994148,0.24251654710346895,0.9184301857312642,2.3680634909063016,-4.398802644787209,0.10241133653500709,147.2391800880432,6
