,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime,Steps
X1,-1.5,-0.3175297587770505,0.19410723653061002,-1.6358470938664729,0.10187159296609291,-0.697972954516531,0.06291343696243007,115.20955896377563,213
X2,0.1,-0.17726786466033473,0.3867950317686173,-0.4582992285339829,0.6467374783110864,-0.935372202305681,0.5808364729850115,115.20955896377563,213
X3,-0.5,-0.3538669110313687,0.28628664439310286,-1.2360580486788995,0.21643698712401416,-0.9149784277226521,0.20724460565991476,115.20955896377563,213
X4,-0.3,-0.3466822414611056,0.24975529295024193,-1.388087665193843,0.1651103521296522,-0.8361936244530336,0.14282914153082238,115.20955896377563,213
X5,0.4,0.15523523880565326,0.2425877761394529,0.6399136892883484,0.5222287136461714,-0.3202280692677334,0.6306985468790399,115.20955896377563,213
X6,-0.2,-0.020782484977636455,0.1224875990422158,-0.16967011469033444,0.8652695782727735,-0.2608537695468139,0.219288799591541,115.20955896377563,213
X7,-0.25,-0.08144658978809495,0.08221284380235824,-0.9906796313225049,0.32184204010213113,-0.2425808039783402,0.07968762440215031,115.20955896377563,213
X8,0.35,0.051993819846532625,0.43631863245949115,0.11916479375049346,0.9051447983746215,-0.8031749923033015,0.9071626319963667,115.20955896377563,213
X9,-0.1,-0.02717265440105972,0.31109456741359254,-0.08734531955016221,0.9303970318537805,-0.6369068071272742,0.5825614983251547,115.20955896377563,213
X10,0.5,0.08566959771687055,0.21053687148049507,0.40691018686865643,0.6840739538092717,-0.32697509105752653,0.49831428649126763,115.20955896377563,213
