,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime
X1,-1.5,0.686259621952168,0.1085061465883421,6.324615181071224,2.5386443285174205e-10,0.47359148086029473,0.8989277630440413,11.07924199104309
X2,0.1,-0.17785593537654945,0.22063020269303163,-0.8061268729558523,0.4201696981033788,-0.6102831899675945,0.2545713192144956,11.07924199104309
X3,-0.5,-0.005834486467590806,0.14531610550797058,-0.04015030850982161,0.9679732937203878,-0.2906488218834149,0.27897984894823324,11.07924199104309
X4,-0.3,-0.6683314097267684,0.1339878958203313,-4.987998398175874,6.100807452456278e-07,-0.9309428619703682,-0.4057199574831686,11.07924199104309
X5,0.4,0.37525330272459567,0.13227968995365375,2.836817223082935,0.0045565688511382445,0.11598987248427267,0.6345167329649186,11.07924199104309
X6,-0.2,-0.09730425719460266,0.0681770132542993,-1.4272296856369926,0.15351370049502447,-0.23092874880055214,0.03632023441134681,11.07924199104309
X7,-0.25,-0.14709704997184866,0.044150482653223286,-3.3317200884803824,0.000863110215120125,-0.23363040655479078,-0.060563693388906534,11.07924199104309
X8,0.35,0.11614675152953867,0.23633732827929613,0.4914448021189443,0.6231118832773999,-0.34706590375406365,0.579359406813141,11.07924199104309
X9,-0.1,-0.19444510677062649,0.168801354625191,-1.151916743810352,0.24935528706043153,-0.5252896849872344,0.13639947144598136,11.07924199104309
X10,0.5,0.4899898047105568,0.11837417290644314,4.139330334310505,3.483210957603647e-05,0.2579806872841529,0.7219989221369607,11.07924199104309
