,Truth,0.975],Coef,P-value,Std.Err,[0.025,z,RunTime,Steps
X1,-1.5,0.760052191557346,-0.05686933455436887,0.8914724132817636,0.4168043525859224,-0.8737908606660837,-0.1364413164151051,14.313653230667114,64
X2,0.1,1.6725891274404534,0.034028927550974815,0.9675321069299186,0.8360154573703795,-1.6045312723385037,0.04070370619463199,14.313653230667114,64
X3,-0.5,1.1580705648162386,-0.042138772585212037,0.9451381569861068,0.6123629502386017,-1.2423481099866627,-0.06881339337853971,14.313653230667114,64
X4,-0.3,0.9800631381665564,-0.09048856100950911,0.8684195807025461,0.5462098789447487,-1.1610402601855747,-0.1656662841476406,14.313653230667114,64
X5,0.4,0.9587568448849377,-0.07061684641729114,0.8930412279162726,0.5252003053638887,-1.09999053771952,-0.13445697897750414,14.313653230667114,64
X6,-0.2,0.5105561809730473,-0.06974035737966025,0.8137822233648764,0.2960751005389423,-0.6500368957323678,-0.23554955230180663,14.313653230667114,64
X7,-0.25,0.36033964386352335,0.008713601971919439,0.961262274447757,0.17940433696312988,-0.34291243991968445,0.0485696283569232,14.313653230667114,64
X8,0.35,1.8150244012863574,-0.018994649030114327,0.9838048206298481,0.9357411923466307,-1.853013699346586,-0.020299041215103477,14.313653230667114,64
X9,-0.1,1.3211495711203072,0.022664814638700712,0.9727090430972988,0.6625043911426978,-1.2758199418429057,0.034210814210013145,14.313653230667114,64
X10,0.5,1.0067405905157722,0.029247016006560024,0.9532365071665303,0.4987303718380604,-0.9482465585026523,0.05864294147310651,14.313653230667114,64
