,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime,Steps
X1,-1.5,-11.772697964702594,0.8200853570694483,-14.355454420954418,9.847791642902434e-47,-13.380035741485859,-10.16536018791933,22.8458149433136,11
X2,0.1,2.9688298373712563,1.6016173927692154,1.8536448534928271,0.06378998610711371,-0.17028259423026615,6.107942268972779,22.8458149433136,11
X3,-0.5,16.958452327761197,1.3780997279053822,12.305678598120682,8.442387077368299e-35,14.257426472656853,19.65947818286554,22.8458149433136,11
X4,-0.3,17.629827216366966,1.2183898571404936,14.469775099526338,1.8808614693440224e-47,15.241826958406456,20.017827474327476,22.8458149433136,11
X5,0.4,-5.744260959883273,0.8334894811097215,-6.891821780684347,5.508235651327155e-12,-7.377870337237008,-4.110651582529538,22.8458149433136,11
X6,-0.2,10.322767078527592,0.700414391117808,14.73808535266279,3.67043908482516e-49,8.949980086854769,11.695554070200416,22.8458149433136,11
X7,-0.25,9.095587033572327,0.5249250234182202,17.327402253265525,2.9223347483494902e-67,8.066752884973459,10.124421182171195,22.8458149433136,11
X8,0.35,5.465109086908113,1.5028240615803605,3.6365594793318903,0.00027630386455149467,2.519628027876823,8.410590145939402,22.8458149433136,11
X9,-0.1,2.9823133645970996,1.0677264501229067,2.7931436598332873,0.00521985043651765,0.8896079605084068,5.075018768685792,22.8458149433136,11
X10,0.5,3.1787338337430384,0.6862135163957275,4.632280999708431,3.616588193983288e-06,1.8337800452940027,4.5236876221920745,22.8458149433136,11
