,0.975],Coef,P-value,Std.Err,Truth,[0.025,z
X1,0.16083712726176455,-0.036062945511119104,0.7196142805438621,0.10046106600574482,-1.5,-0.23296301828400276,-0.35897434643045556
X2,0.29074482664777973,-0.15096198855014525,0.5029494429348531,0.2253647593516641,0.1,-0.5926688037480703,-0.6698562321120529
X3,-0.04176038073635452,-0.33165483298971615,0.02494172178754362,0.14790804946078684,-0.5,-0.6215492852430777,-2.2423041490898976
X4,0.09337340981075559,-0.16600926767446605,0.20969307031444673,0.1323405315022223,-0.3,-0.4253919451596877,-1.2544098606078091
X5,0.5027835542372836,0.23747513056548372,0.07937128014633409,0.1353639269250863,0.4,-0.02783329310631613,1.7543457548842258
X6,-0.12169212817598424,-0.2506757701174933,0.0001394565152765326,0.06580918932261463,-0.2,-0.3796594120590024,-3.8091301943959857
X7,-0.14282982164970687,-0.2311553122641846,2.906790334842815e-07,0.045064853545512935,-0.25,-0.3194808028786623,-5.129392288620907
X8,0.8885971148681557,0.4394689567536131,0.05513486402679499,0.22915122834630772,0.35,-0.00965920136092957,1.9178119180293463
X9,0.17402264549830565,-0.14333700407498345,0.3760341493870415,0.16192116261997114,-0.1,-0.46069665364827256,-0.8852271176646336
X10,0.6160527276872796,0.38791384885539887,0.0008603644173360306,0.11639952510958401,0.5,0.15977497002351815,3.3326067996428548
