,0.975],Coef,P-value,Std.Err,Truth,[0.025,z
X1,0.3030459295075001,0.09811835941458741,0.34802780492973784,0.10455680313154357,-1.5,-0.10680921067832527,0.9384215706283988
X2,0.6156233318793145,0.16856657490841026,0.45989412774395344,0.22809437161647061,0.1,-0.278490182062494,0.7390211942267765
X3,0.14503745590776965,-0.13852639137583636,0.33832498723357207,0.14467808964022094,-0.5,-0.4220902386594424,-0.9574800975069386
X4,-0.08015478372085177,-0.3380848648916422,0.010197900987442596,0.13159939732096632,-0.3,-0.5960149460624327,-2.569045693021413
X5,0.6574520795137611,0.3993271861463848,0.0024283872369258003,0.1316987931244534,0.4,0.1412022927790086,3.03212487125092
X6,0.05900949693973381,-0.06700226064742854,0.29734631325509564,0.06429289394456345,-0.2,-0.19301401823459088,-1.0421409978092018
X7,-0.14296000434751963,-0.23135435243956254,2.900349237552557e-07,0.045099985556899466,-0.25,-0.3197487005316054,-5.129809900885203
X8,0.6691030409836192,0.2129114821097214,0.3603256380970431,0.23275507043695584,0.35,-0.24328007676417632,0.9147447645716948
X9,-0.00917984358365409,-0.3263718861387114,0.04372816150769618,0.16183564726446878,-0.1,-0.6435639286937687,-2.0166872481769147
X10,0.7293887531493739,0.5044778990759354,1.1015020433737691e-05,0.11475254345153203,0.5,0.2795670450024969,4.396224117585781
