,0.975],Coef,P-value,Std.Err,Truth,[0.025,z
X1,0.09310015972764056,-0.10374646019505344,0.3016115806465848,0.10043379364248221,-1.5,-0.30059308011774744,-1.03298358483165
X2,0.4056319542656883,-0.0361183401919514,0.872683855412085,0.2253869430548927,0.1,-0.4778686346495912,-0.16025036633623813
X3,0.13341761491245702,-0.15602491479923214,0.2907285082801824,0.1476774725003567,-0.5,-0.4454674445109213,-1.0565248182918032
X4,-0.028173798014445584,-0.28872465956844723,0.02986334476135953,0.1329365547295775,-0.3,-0.5492755211224489,-2.171898167180407
X5,0.603237471017277,0.3361651505170151,0.013624440459700363,0.13626389081649556,0.4,0.0690928300167532,2.4670156451772205
X6,-0.06375451491849426,-0.19229229622117633,0.0033667537061494285,0.06558170522656644,-0.2,-0.3208300775238584,-2.9321027191479736
X7,-0.16766694312087693,-0.25694016242957274,1.6902974267920952e-08,0.04554839747500249,-0.25,-0.34621338173826854,-5.641036275109011
X8,0.481439488815002,0.0316482257215472,0.8903138840576239,0.22948955342723376,0.35,-0.4181430373719076,0.13790704303924742
X9,0.3698419945044531,0.05179919336915307,0.7495622399254939,0.16226971573727886,-0.1,-0.266243607766147,0.31921663961634117
X10,0.6184930357695866,0.3895836740851079,0.0008508891337841417,0.11679263582620837,0.5,0.16067431240062924,3.33568697486049
