,0.975],Coef,P-value,RunTime,Std.Err,Truth,[0.025,z
X1,0.1319899658083639,-0.07128764470233004,0.4918673063046173,115.08692193031311,0.10371497155595405,-1.5,-0.274565255213024,-0.6873418912704466
X2,0.3483990466720112,-0.056023326191541156,0.7860007414385282,115.08692193031311,0.20634173528878713,0.1,-0.4604456990550935,-0.2715074878726463
X3,0.010208113126485618,-0.2791115716785962,0.05864967522852495,115.08692193031311,0.1476147953763854,-0.5,-0.568431256483678,-1.8908102739086745
X4,0.11479933449109797,-0.13947781079303356,0.2823332533565255,115.08692193031311,0.1297356202890112,-0.3,-0.3937549560771651,-1.07509264211571
X5,0.37193080020814284,0.11441923745949313,0.383828337379593,115.08692193031311,0.1313858635917036,0.4,-0.1430923252891566,0.8708641426985161
X6,0.028393727823451814,-0.09801861456488484,0.128578198509308,115.08692193031311,0.06449727769914991,-0.2,-0.2244309569532215,-1.5197325850262475
X7,-0.04490893419792959,-0.12950313161803353,0.0026957246859575933,115.08692193031311,0.04316109756102864,-0.25,-0.2140973290381375,-3.0004596485276944
X8,0.611855910590837,0.18070864513433577,0.4113681794271902,115.08692193031311,0.21997713501702135,0.35,-0.25043862032216546,0.8214883111390324
X9,0.25847952393734935,-0.05492565238600953,0.7312280449606579,115.08692193031311,0.15990353716872294,-0.1,-0.36833082870936845,-0.34349241648140955
X10,0.5355128615604342,0.3209832116124702,0.0033620787068288816,115.08692193031311,0.10945591344941236,0.5,0.10645356166450612,2.9325342185447125
