,0.975],Coef,P-value,Std.Err,Truth,[0.025,z
X1,-0.4342366148307887,-0.8310820029679736,4.0501846328128e-05,0.20247585574897548,-1.5,-1.2279273911051587,-4.10459805142559
X2,0.8551723972165954,0.01906409144990387,0.9643551169568153,0.42659370568372257,0.1,-0.8170442143167878,0.04468910627583902
X3,0.012491016785483477,-0.6148845218851625,0.054739119472630104,0.3200954398502452,-0.5,-1.2422600605558085,-1.9209412110738995
X4,0.39926182642386354,-0.13255537206276746,0.625181004397382,0.27134028915155123,-0.3,-0.6643725705493985,-0.4885207887013474
X5,0.29053791526959144,-0.25522003354179007,0.35937116648025436,0.27845304751076116,0.4,-0.8009779823531715,-0.9165639802592815
X6,0.15718673062664906,-0.11579805246313944,0.40574673621120283,0.13928050876944092,-0.2,-0.388782835552928,-0.8314017049925245
X7,0.04032126210818998,-0.1318839484855629,0.13334389150609816,0.08786141510443705,-0.25,-0.3040891590793158,-1.5010451212150198
X8,0.9071866861120306,-0.031275219224582075,0.9479209390938445,0.4788158891370518,0.35,-0.9697371245611948,-0.06531783914052641
X9,0.283652915531439,-0.36649606448350036,0.2692232630740671,0.33171475599293626,-0.1,-1.0166450444984396,-1.1048530638513554
X10,0.6951815580999889,0.23691504951161715,0.31093406497207665,0.23381373769537184,0.5,-0.2213514590767546,1.0132640273698799
