,0.975],Coef,P-value,Std.Err,Truth,[0.025,z
X1,-0.8900890850857095,-1.3190942998236124,1.676028737278179e-09,0.218884231923598,-1.5,-1.7480995145615152,-6.026447351785692
X2,1.6419532363937854,0.7932594107643665,0.06695970700606375,0.4330150072294281,0.1,-0.055434414865052406,1.8319443841909777
X3,0.004432036788416194,-0.7168856694035559,0.05142438400268566,0.3680259975142258,-0.5,-1.4382033755955281,-1.947921272534137
X4,0.7159735290790094,0.14037366236477258,0.6326618426953212,0.2936787954851399,-0.3,-0.43522620434946424,0.47798364922085584
X5,1.058884308871261,0.458426047031725,0.1345612448613231,0.3063618830955752,0.4,-0.14203221480781097,1.4963547109700674
X6,-0.13546194167751768,-0.41453338014336905,0.0035988770169957766,0.14238600222547523,-0.2,-0.6936048186092204,-2.911335199136605
X7,-0.09259153908500775,-0.2928904888326751,0.004157071995725113,0.10219521876303204,-0.25,-0.4931894385803425,-2.8659901351336496
X8,1.1134722838495217,0.13822745797907632,0.7811676002671095,0.49758303003037063,0.35,-0.837017367891369,0.27779777371153397
X9,0.2927867949928443,-0.424442714647833,0.24610205124133977,0.3659401446356552,-0.1,-1.1416722242885102,-1.15986923235882
X10,0.7764625011014378,0.2639407565779136,0.3128062865569453,0.26149548895975855,0.5,-0.24858098794561057,1.009351089106288
