,0.975],Coef,P-value,RunTime,Std.Err,Truth,[0.025,z
X1,-0.321243700998614,-0.5310256672183045,7.002307969498494e-07,284.38667917251587,0.10703358134113203,-1.5,-0.7408076334379949,-4.96129962731833
X2,0.5139824884923281,0.05697992143490196,0.8069427872510837,284.38667917251587,0.23316885772260415,0.1,-0.4000226456225242,0.24437191995291976
X3,-0.246128440713553,-0.573707286998446,0.0005978335951689897,284.38667917251587,0.16713513426006446,-0.5,-0.901286133283339,-3.4325953638553934
X4,0.056590248414697175,-0.2159878082039245,0.12041033306854262,284.38667917251587,0.13907299145220098,-0.3,-0.48856586482254616,-1.553053586814942
X5,0.5441520766076835,0.28390458532913027,0.03250625662724095,284.38667917251587,0.1327817711338337,0.4,0.023657094050577032,2.13812922440217
X6,0.018644343436271624,-0.11792745431624065,0.09057049334682479,284.38667917251587,0.06968076850009096,-0.2,-0.2544992520687529,-1.6923960061675656
X7,-0.12186915853993709,-0.2149344145822938,5.995691699561613e-06,284.38667917251587,0.047483145630407855,-0.25,-0.3079996706246505,-4.526541191168501
X8,0.47798625995320293,-0.0020428061557412284,0.9933450814689794,284.38667917251587,0.2449172873118813,0.35,-0.48207187226468534,-0.008340800186717276
X9,0.24508426343192385,-0.09805958855906201,0.5754144267503574,284.38667917251587,0.17507660956578072,-0.1,-0.44120344055004784,-0.5600953137158995
X10,0.4466053362603342,0.2064805218485239,0.09192103734499518,284.38667917251587,0.12251491068805873,0.5,-0.03364429256328644,1.6853501397413917
