,0.975],Coef,P-value,RunTime,Std.Err,Truth,[0.025,z
X1,-0.31768786253048265,-0.5335235405726443,1.2672082942338818e-06,257.3354229927063,0.11012226655293754,-1.5,-0.7493592186148059,-4.844828909475551
X2,0.5511126175168028,0.09772530752877427,0.6726891597647608,257.3354229927063,0.23132430493010514,0.1,-0.35566200245925433,0.42246018012807635
X3,-0.27587942561766793,-0.6034598829202057,0.0003054979504706736,257.3354229927063,0.1671359562229397,-0.5,-0.9310403402227434,-3.6105928165167596
X4,0.0034754639888571193,-0.27258082191307287,0.052954883834196144,257.3354229927063,0.14084763082481616,-0.3,-0.5486371078150029,-1.9352886542486765
X5,0.6316142453819102,0.36388057178143524,0.007726017181351442,257.3354229927063,0.13660132206534153,0.4,0.09614689818096017,2.663814421996425
X6,0.052014235590690655,-0.08696576277462495,0.22003548188579225,257.3354229927063,0.07090946485002561,-0.2,-0.22594576113994055,-1.2264337766271203
X7,-0.07547767639870423,-0.16531836826699223,0.0003102538090289114,257.3354229927063,0.04583792960905812,-0.25,-0.2551590601352802,-3.6065845398550316
X8,0.6143873089407141,0.13851766992531112,0.568330048153894,257.3354229927063,0.24279509165239926,0.35,-0.33735196909009196,0.5705126449739838
X9,0.3389360624744398,-0.00043217559460994855,0.9980085163302854,257.3354229927063,0.1731502405498518,-0.1,-0.3398004136636597,-0.0024959572290372913
X10,0.6368538357448854,0.39801247298169334,0.0010902306056930888,257.3354229927063,0.12186007639078679,0.5,0.1591711102185013,3.2661433077173503
