,0.975],Coef,P-value,RunTime,Std.Err,Truth,[0.025,z
X1,-0.7835033178137404,-0.883282693708343,1.9621083750573608e-67,1131.0878639221191,0.05090877990340773,-1.5,-0.9830620696029456,-17.350301762962065
X2,0.3975890569549632,0.19381367429472007,0.062300680711231536,1131.0878639221191,0.1039689416031331,0.1,-0.00996170836552307,1.8641497288155477
X3,-0.1601407891283161,-0.30240131711874174,3.096246828797851e-05,1131.0878639221191,0.07258323519739425,-0.5,-0.4446618451091674,-4.166269473885314
X4,0.025244274092887292,-0.1012310654387091,0.116704258549217,1131.0878639221191,0.06452941968913531,-0.3,-0.2277064049703055,-1.5687583419528748
X5,0.3672025587583432,0.24138047010923827,0.00016988108779129093,1131.0878639221191,0.06419612230076924,0.4,0.11555838146013339,3.7600475146821433
X6,-0.06810374251162803,-0.13088001607132546,4.383841844439906e-05,1131.0878639221191,0.03202929929309795,-0.2,-0.19365628963102288,-4.086259111498234
X7,-0.1743879190471228,-0.21691044985381974,1.55638489899298e-23,1131.0878639221191,0.02169556726893806,-0.25,-0.2594329806605167,-9.997915572568337
X8,0.5507551800678449,0.33103439398118634,0.003147947082274051,1131.0878639221191,0.11210450094321045,0.35,0.1113136078945278,2.9529090375138525
X9,0.06509834964175007,-0.09063158055420148,0.2540121521073504,1131.0878639221191,0.0794555054051766,-0.1,-0.24636151075015303,-1.1406582853136915
X10,0.42554074443742307,0.3163157672533078,1.3783250658528205e-08,1131.0878639221191,0.055728052752048125,0.5,0.20709079006919254,5.676059930905849
