,0.975],Coef,P-value,RunTime,Std.Err,Truth,[0.025,z
X1,-0.6123960537680874,-0.7094172001385792,1.3962951382268728e-46,965.8058714866638,0.049501494094020035,-1.5,-0.8064383465090711,-14.33122803912053
X2,0.0485985958502381,-0.16288980590814917,0.13115123870872206,965.8058714866638,0.10790422770948203,0.1,-0.3743782076665364,-1.5095776075308984
X3,-0.17153894090279795,-0.3119528856908956,1.3344078896694624e-05,965.8058714866638,0.07164108360566705,-0.5,-0.4523668304789932,-4.35438536089115
X4,-0.15381876468216898,-0.27963211157093404,1.3233616441150587e-05,965.8058714866638,0.06419166213704183,-0.3,-0.4054454584596991,-4.356206121816125
X5,0.410143043931904,0.2841545031022321,9.847187496522076e-06,965.8058714866638,0.06428104844255908,0.4,0.15816596227256025,4.420501998441264
X6,-0.09260239400170231,-0.1552450636771356,1.1899247040845577e-06,965.8058714866638,0.031961132793986664,-0.2,-0.21788773335256886,-4.857307927031429
X7,-0.13460293815975244,-0.17772696669242447,6.605632280444911e-16,965.8058714866638,0.022002459500619416,-0.25,-0.2208509952250965,-8.077595447337197
X8,0.5439553722529777,0.32722683145651515,0.0030839400347238747,965.8058714866638,0.11057781714177534,0.35,0.1104982906600526,2.9592448098063575
X9,-0.09941210413001986,-0.256017925372921,0.001354697684091042,965.8058714866638,0.07990239680060508,-0.1,-0.41262374661582213,-3.204133237852788
X10,0.5329394422288481,0.4229250171987695,4.897275117017932e-14,965.8058714866638,0.05613083966342168,0.5,0.3129105921686909,7.534628374254903
