,0.975],Coef,P-value,RunTime,Std.Err,Truth,[0.025,z
X1,-0.4105071710708472,-0.6251057475678545,1.1351289192046769e-08,211.54276633262634,0.1094910807019962,-1.5,-0.8397043240648618,-5.70919332935635
X2,0.036440549738853856,-0.45800443801835555,0.06944482827192915,211.54276633262634,0.25227248447278083,0.1,-0.9524494257755649,-1.8155148349830137
X3,0.2761073481543199,-0.03928082241986936,0.8071466309842104,211.54276633262634,0.16091528751252027,-0.5,-0.35466899299405863,-0.24410870481658278
X4,-0.09525084406903372,-0.37608127661211527,0.00867161587686042,211.54276633262634,0.14328346466724978,-0.3,-0.6569117091551968,-2.6247360606856955
X5,0.679490521365433,0.3945815224466774,0.00663898976236452,211.54276633262634,0.14536440410066487,0.4,0.10967252352792184,2.714430158386159
X6,-0.001159731439100531,-0.13776853491938912,0.04808652445566146,211.54276633262634,0.0696996493202368,-0.2,-0.2743773383996777,-1.976602985280573
X7,-0.1895632667208602,-0.28301468682743525,2.926134194803737e-09,211.54276633262634,0.04768017173099865,-0.25,-0.3764661069340103,-5.935689334848534
X8,0.6149072398351643,0.12010076958262068,0.6342683254191975,211.54276633262634,0.2524569177048882,0.35,-0.37470570066992287,0.47572778228645557
X9,-0.19025953182350913,-0.5447444946570169,0.0025960281368724324,211.54276633262634,0.18086299688846721,-0.1,-0.8992294574905246,-3.0119178827548927
X10,0.9268508487756241,0.6783116229626565,8.838249825626149e-08,211.54276633262634,0.1268080565831656,0.5,0.42977239714968885,5.349120877960885
