,0.975],Coef,P-value,RunTime,Std.Err,Truth,[0.025,z
X1,-0.6087707316026956,-0.7058204364981715,4.210699955257217e-46,1324.1163730621338,0.04951606503766186,-1.5,-0.8028701413936474,-14.254372514482428
X2,0.2545300250745194,0.04861327803951539,0.6435703803995949,1324.1163730621338,0.10506149451469719,0.1,-0.15730346899548858,0.4627126071647002
X3,-0.19519703309089886,-0.3326123750980304,2.0946430725457194e-06,1324.1163730621338,0.07011115612691432,-0.5,-0.4700277171051619,-4.7440720346408165
X4,-0.010031927640225133,-0.13348369608989558,0.03407065938898834,1324.1163730621338,0.06298675304733681,-0.3,-0.256935464539566,-2.119234436319932
X5,0.4639354938030901,0.34030085276563293,6.86207536868324e-08,1324.1163730621338,0.06308005710179228,0.4,0.21666621172817574,5.394745477425449
X6,-0.055566978665166133,-0.11858164751913805,0.00022577487572264266,1324.1163730621338,0.03215093177934488,-0.2,-0.18159631637310997,-3.688280275451299
X7,-0.1787563384159096,-0.22019473515091276,2.121818883676272e-25,1324.1163730621338,0.021142427480812485,-0.25,-0.2616331318859159,-10.41482750033067
X8,0.4209062364029603,0.20748322593074675,0.05672599601627093,1324.1163730621338,0.1088912911013741,0.35,-0.005939784541466847,1.9054161616798804
X9,-0.0728144676092215,-0.22323319468629654,0.003628880794794955,1324.1163730621338,0.07674565812284054,-0.1,-0.3736519217633716,-2.9087403788887354
X10,0.5111864815134731,0.404000270587426,1.4974265943527273e-13,1324.1163730621338,0.054687846779862846,0.5,0.29681405966137886,7.387386675026067
