,0.975],Coef,P-value,RunTime,Std.Err,Truth,[0.025,z
X1,0.21186958762588218,0.009223571561351283,0.9289157354217152,78.07377433776855,0.10339272357274465,-1.5,-0.1934224445031796,0.0892090975324951
X2,0.43361278683131527,0.012994329800338522,0.9517176494637154,78.07377433776855,0.21460519531531025,0.1,-0.4076241272306382,0.06054993114796922
X3,-0.022992604577024955,-0.31640641360408195,0.03455359668092653,78.07377433776855,0.14970367263228151,-0.5,-0.6098202226311389,-2.113551444935315
X4,0.09229583331374988,-0.16435925696513445,0.20942772035251722,78.07377433776855,0.13094887981559067,-0.3,-0.42101434724401876,-1.2551406105695146
X5,0.4047632130775286,0.14222674406931154,0.28832981849781625,78.07377433776855,0.133949638364897,0.4,-0.12030972493890549,1.0617926692856503
X6,-0.013408477932328772,-0.14119851424133026,0.030340627993013965,78.07377433776855,0.06520019567145187,-0.2,-0.2689885505503318,-2.1656148848515575
X7,-0.11652032166122202,-0.20322052030689935,4.347285995166954e-06,78.07377433776855,0.044235607718140404,-0.25,-0.2899207189525767,-4.594048342271591
X8,0.6797121088528463,0.2322362028761404,0.3090560580487971,78.07377433776855,0.22830822707800033,0.35,-0.21523970310056542,1.017204705447597
X9,0.22703973539558733,-0.09264068935950873,0.5700478508252937,78.07377433776855,0.16310525333888584,-0.1,-0.4123211141146048,-0.5679810273616878
X10,0.6864761235738785,0.46129433561361544,5.942854598639881e-05,78.07377433776855,0.11489077756543643,0.5,0.23611254765335238,4.015068444905281
