,0.975],Coef,P-value,RunTime,Std.Err,Truth,[0.025,z
X1,-0.2729912481483856,-0.4868846411585984,8.140393866443027e-06,323.6670620441437,0.1091312866002706,-1.5,-0.7007780341688112,-4.461457903836269
X2,0.1637660016420126,-0.281354436484816,0.21539513512851816,323.6670620441437,0.22710643569311917,0.1,-0.7264748746116446,-1.238865977646711
X3,0.02490866344495729,-0.273819453082998,0.0724090705988897,323.6670620441437,0.152415103812088,-0.5,-0.5725475696109532,-1.7965375230829415
X4,0.008920329825425066,-0.2643211484272187,0.05796290340095102,323.6670620441437,0.13941147809482407,-0.3,-0.5375626266798625,-1.895978380255278
X5,0.7726959873772665,0.4902357689024513,0.000669685120478679,323.6670620441437,0.1441150033749677,0.4,0.20777555042763612,3.4016983479986767
X6,0.057852101788944815,-0.08623056484768218,0.24079626538234444,323.6670620441437,0.07351291484773546,-0.2,-0.23031323148430918,-1.1729988536883391
X7,-0.08012351429910723,-0.1737906658137713,0.0002763349918130687,323.6670620441437,0.047790240797618774,-0.25,-0.2674578173284354,-3.636530448752849
X8,0.7845287201490416,0.2959777697729894,0.23506957732129652,323.6670620441437,0.24926526730901807,0.35,-0.1925731806030629,1.1874007677373724
X9,0.8645748241739991,0.5238227494043174,0.00258709612960602,323.6670620441437,0.1738562926511312,-0.1,0.18307067463463567,3.012963991216852
X10,0.6936059734983018,0.4574214212126573,0.00014711738897269552,323.6670620441437,0.12050453594333596,0.5,0.22123686892701275,3.795885504490449
