,0.975],Coef,P-value,RunTime,Std.Err,Truth,[0.025,z
X1,-0.4746274344831719,-0.568696566504666,2.1778361935950773e-32,1044.5213844776154,0.047995336660007104,-1.5,-0.6627656985261602,-11.848996300062247
X2,0.3845779696015513,0.18583403611225774,0.06685467404807666,1044.5213844776154,0.10140182854853126,0.1,-0.012909897377035795,1.8326497536808908
X3,-0.31253135265214915,-0.4522656073705595,2.2439363065722325e-10,1044.5213844776154,0.07129429658830996,-0.5,-0.5919998620889698,-6.343643587399065
X4,-0.15316637812270054,-0.27559196038396117,1.023866794635747e-05,1044.5213844776154,0.06246317904882979,-0.3,-0.3980175426452218,-4.412070672363964
X5,0.46810459458731785,0.3444917668116208,4.704097549953006e-08,1044.5213844776154,0.0630689276821906,0.4,0.22087893903592376,5.462147201036023
X6,-0.09699061041687554,-0.15940078752719886,5.559838330257332e-07,1044.5213844776154,0.0318425119595683,-0.2,-0.22181096463752217,-5.005911208562829
X7,-0.1377952121061965,-0.1795312400906137,3.4284199252742474e-17,1044.5213844776154,0.021294282948267,-0.25,-0.2212672680750309,-8.430959639578967
X8,0.5917406170389701,0.3780781258136051,0.0005240004055376696,1044.5213844776154,0.10901347740334258,0.35,0.16441563458824018,3.468177832863191
X9,-0.056616727627864266,-0.20830376967836348,0.00711283830822688,1044.5213844776154,0.07739276948479626,-0.1,-0.3599908117288627,-2.691514608729496
X10,0.41474996146108223,0.30892874511465995,1.0539323038580848e-08,1044.5213844776154,0.05399140818220247,0.5,0.20310752876823768,5.721813072037897
