,0.975],Coef,P-value,RunTime,Std.Err,Truth,[0.025,z
X1,-0.5108862384450876,-0.7283977361335803,5.256470653600911e-11,301.629266500473,0.11097729228113001,-1.5,-0.9459092338220729,-6.5634844855323
X2,0.012143869223937065,-0.4905165785076555,0.05579763244262562,301.629266500473,0.2564641226734739,0.1,-0.9931770262392481,-1.912612857480161
X3,0.3868452691358939,0.07154332383227072,0.6565192303106455,301.629266500473,0.1608712942194975,-0.5,-0.2437586214713525,0.44472398994102025
X4,-0.01052956845674674,-0.292703094027275,0.042042230518331156,301.629266500473,0.1439687287983495,-0.3,-0.5748766195978032,-2.0331018858772523
X5,0.6949562519995764,0.40773043727307007,0.005398172641665832,301.629266500473,0.14654647469367113,0.4,0.12050462254656363,2.782260290637197
X6,0.06906013127339675,-0.06790412071790641,0.3311944816749699,301.629266500473,0.06988100393236976,-0.2,-0.20486837270920957,-0.9717107210369136
X7,-0.2390348721153464,-0.33434125065184334,6.169187984323754e-12,301.629266500473,0.048626596476515356,-0.25,-0.42964762918834026,-6.875686864354498
X8,0.5167578850726324,0.019121683120244964,0.9399667411507723,301.629266500473,0.2539006848862466,0.35,-0.4785145188321425,0.07531166419977134
X9,-0.14350231288592452,-0.49954678506198524,0.005960986703734101,301.629266500473,0.1816586795349612,-0.1,-0.855591257238046,-2.749919719447508
X10,0.7835965833123383,0.5354752469272236,2.338632235444945e-05,301.629266500473,0.12659484377525032,0.5,0.2873539105421089,4.2298345727088025
