,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime
X1,-1.5,0.07347917926379259,0.10491200988469315,0.7003886337184103,0.4836846326479818,-0.13214458327785017,0.2791029418054353,219.63669395446777
X2,0.1,-0.2735922393476689,0.22964806638317725,-1.19135442181851,0.2335144776808462,-0.7236941821283065,0.17650970343296873,219.63669395446777
X3,-0.5,-0.503201432511135,0.1478887571790981,-3.4025671870495313,0.0006675593949013837,-0.7930580725869089,-0.2133447924353612,219.63669395446777
X4,-0.3,-0.1702906146071658,0.1345354761300102,-1.265767361187343,0.20559638362403865,-0.4339753045448451,0.09339407533051355,219.63669395446777
X5,0.4,0.26883841075138293,0.1311449272713546,2.049933736248326,0.04037089753502183,0.011799074516909702,0.5258777469858562,219.63669395446777
X6,-0.2,-0.23705536512290148,0.06922216558899681,-3.4245586382027686,0.0006157989377095001,-0.37272831767937403,-0.10138241256642894,219.63669395446777
X7,-0.25,-0.3309630015185011,0.047711578351704434,-6.936743929928654,4.012401552102066e-12,-0.42447597747102117,-0.23745002556598108,219.63669395446777
X8,0.35,0.5404761344037173,0.22653346496382912,2.385855593079883,0.01703944042044076,0.09647869827935096,0.9844735705280837,219.63669395446777
X9,-0.1,-0.1104833656170861,0.16463647029959647,-0.6710746738923308,0.5021729599392601,-0.4331649204913644,0.2121981892571922,219.63669395446777
X10,0.5,0.5750549128600215,0.1175883443680105,4.890407428990583,1.0062747439673808e-06,0.3445859910791182,0.8055238346409248,219.63669395446777
