,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime
X1,-1.5,-0.7612973577079717,0.5416944973420993,-1.4053998359654472,0.15990241550309892,-1.8229990714965818,0.30040435608063853,25.523290157318115
X2,0.1,0.1497647447879598,0.9481495962427938,0.15795476302624442,0.874492445002008,-1.7085743304624514,2.008103820038371,25.523290157318115
X3,-0.5,-0.42780226321601345,0.7229713289102594,-0.5917278405228645,0.5540328504288762,-1.8448000409122811,0.9891955144802542,25.523290157318115
X4,-0.3,-0.4031498225332515,0.608946862190119,-0.6620443384555684,0.5079428064865388,-1.5966637503388459,0.7903641052723429,25.523290157318115
X5,0.4,0.24390818628403627,0.6598385578603037,0.36964827741344997,0.7116445747636082,-1.049351632934076,1.5371680055021484,25.523290157318115
X6,-0.2,0.0573174666550213,0.305497436321246,0.1876201232495748,0.851174450307971,-0.5414465106269133,0.6560814439369558,25.523290157318115
X7,-0.25,-0.2480562533699212,0.2026094573746926,-1.2243073772769761,0.22083629499560287,-0.6451634958838532,0.14905098914401083,25.523290157318115
X8,0.35,0.06019779565859074,1.1115199004801777,0.05415809076615294,0.9568092103753186,-2.1183411945661406,2.238736785883322,25.523290157318115
X9,-0.1,-0.5609966065058137,0.8264094253096312,-0.6788361668256928,0.49724167507782246,-2.18072932937338,1.0587361163617524,25.523290157318115
X10,0.5,0.16367830543189002,0.5958774318105458,0.2746845184832074,0.783558626272834,-1.0042200093292346,1.3315766201930146,25.523290157318115
