,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime
X1,-1.5,-1.0152514133671133,0.2236321273148863,-4.5398280898056464,5.630011200589587e-06,-1.4535623321477071,-0.5769404945865195,464.56477999687195
X2,0.1,-0.05536075050065905,0.4211778044602882,-0.13144270641611855,0.895425106868948,-0.8808540848418633,0.7701325838405453,464.56477999687195
X3,-0.5,-0.03530231769704403,0.3065495607431299,-0.11516022926754495,0.908318121338869,-0.6361284209693919,0.5655237855753038,464.56477999687195
X4,-0.3,-0.47543153689583784,0.28066585986692066,-1.6939414616414923,0.09027640724041071,-1.0255265182640472,0.0746634444723715,464.56477999687195
X5,0.4,0.23514541133817504,0.29102803103878777,0.8079820026230917,0.41910094273994514,-0.33525905248873167,0.8055498751650817,464.56477999687195
X6,-0.2,-0.18386065735415513,0.1331450319960758,-1.3809051272718464,0.16730813325968252,-0.44482012684531186,0.0770988121370016,464.56477999687195
X7,-0.25,-0.25591200655713575,0.10006395489749051,-2.557484429026438,0.010543227803488115,-0.45203375585384087,-0.05979025726043066,464.56477999687195
X8,0.35,0.1180285619344069,0.5038450330823349,0.23425568217345014,0.8147864892260831,-0.8694895644857784,1.1055466883545921,464.56477999687195
X9,-0.1,-0.09256970798115369,0.3601677240805229,-0.25701833282667447,0.7971646208019986,-0.7984854811409117,0.6133460651786042,464.56477999687195
X10,0.5,0.2559555446510182,0.25199964347155773,1.0156980427629334,0.3097732003538367,-0.23795468456607,0.7498657738681065,464.56477999687195
