,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime
X1,-1.5,0.3062516165710495,0.10425422878580143,2.937546228462998,0.0033082084580217256,0.10191708130311497,0.510586151838984,194.88888382911682
X2,0.1,-0.1037443314731908,0.2161193077337352,-0.4800326845438845,0.6312041523776957,-0.5273303943362334,0.3198417313898518,194.88888382911682
X3,-0.5,0.012624800270457736,0.141938304050623,0.08894568914924501,0.9291250727306523,-0.2655691658898175,0.290818766430733,194.88888382911682
X4,-0.3,-0.5268867939400755,0.13059975956671455,-4.034362664128221,5.475070097871759e-05,-0.7828576210994916,-0.27091596678065943,194.88888382911682
X5,0.4,0.3194117666119073,0.1291115509646069,2.473920917420216,0.013363927524865989,0.06635777473711246,0.5724657584867021,194.88888382911682
X6,-0.2,-0.08820151926406009,0.06649823690509465,-1.3263738013075452,0.1847159122564931,-0.21853566966151702,0.04213263113339685,194.88888382911682
X7,-0.25,-0.14576925051312592,0.04307038956089856,-3.384442351212502,0.0007132299460122727,-0.2301856635184629,-0.06135283750778894,194.88888382911682
X8,0.35,0.06664209514980585,0.22988743228782935,0.289890119205677,0.7719003009511556,-0.38392899618677734,0.517213186486389,194.88888382911682
X9,-0.1,-0.1380355006071002,0.16482711411195483,-0.8374562725968916,0.4023361462759001,-0.4610907104904236,0.18501970927622322,194.88888382911682
X10,0.5,0.415683527172243,0.11527560876208365,3.605997241187151,0.0003109564391428737,0.18974748392047447,0.6416195704240115,194.88888382911682
