,0.975],Coef,P-value,Std.Err,Truth,[0.025,z
X1,0.36386724771588674,0.16291430164277676,0.11206945388493475,0.10252889648642016,-1.5,-0.03803864443033325,1.5889598662007893
X2,0.5388409850359195,0.0754205208038787,0.7497422582283866,0.23644335520042242,0.1,-0.387999943428162,0.3189792360201796
X3,-0.029546644979616732,-0.31182941576134915,0.030378942518003826,0.14402446717477077,-0.5,-0.5941121865430816,-2.165114177322041
X4,0.06425404150466851,-0.19348789983386933,0.14119574044001848,0.13150340584752465,-0.3,-0.45122984117240716,-1.4713527652524403
X5,0.5554994430138755,0.28296727697748486,0.04184986943071295,0.13904957745978536,0.4,0.010435110941094117,2.0350099737578997
X6,-0.10559149089841036,-0.24075411191201276,0.00048099399745086803,0.06896178757038517,-0.2,-0.37591673292561517,-3.491123423479843
X7,-0.13056304827537468,-0.2210034927634843,1.672491718120873e-06,0.04614393146410323,-0.25,-0.3114439372515939,-4.7894378686698955
X8,0.7078500736273415,0.2694361968221876,0.22838252172768225,0.22368465788410088,0.35,-0.1689776799829663,1.2045358826611714
X9,0.03309034885193929,-0.29449229725917636,0.07807255798516437,0.16713707298252195,-0.1,-0.622074943370292,-1.7619807024499725
X10,0.7654271706013895,0.5414292667618376,2.164099241271214e-06,0.11428674396037478,0.5,0.3174313629222856,4.73746340126341
