,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime
X1,-1.5,-0.6999036452804585,0.54724445132043,-1.2789597840447384,0.20091121810908674,-1.7724830690682536,0.3726757785073368,23.68572163581848
X2,0.1,-0.391443979780188,1.188720871284031,-0.32929848313116483,0.7419300905306476,-2.7212940935455223,1.9384061339851464,23.68572163581848
X3,-0.5,-0.5629167962219146,0.7748321309036663,-0.7265016172798611,0.46753131640549583,-2.081559878836388,0.9557262863925589,23.68572163581848
X4,-0.3,-0.7923950153003051,0.7244451385759443,-1.0937957522331245,0.274044567535361,-2.212281406884167,0.6274913762835569,23.68572163581848
X5,0.4,0.16141158673464254,0.7276610204062396,0.22182250004889564,0.8244520632615826,-1.2647778174648523,1.5876009909341375,23.68572163581848
X6,-0.2,-0.2274924214078372,0.36340302151256765,-0.6260058610986805,0.5313110969723326,-0.9397492610636954,0.48476441824802097,23.68572163581848
X7,-0.25,-0.3456188028521341,0.2841841034947869,-1.216179225374843,0.22391665574216368,-0.9026094150741906,0.2113718093699224,23.68572163581848
X8,0.35,0.13101343701574844,1.0643973218111005,0.12308696605213698,0.9020382323770542,-1.9551669954304234,2.21719386946192,23.68572163581848
X9,-0.1,-0.043717236777382276,0.8374461423720492,-0.05220304275753673,0.9583669084715434,-1.6850815277654734,1.5976470542107086,23.68572163581848
X10,0.5,0.11022413293555822,0.568235695243166,0.1939760804508943,0.8461946112013599,-1.0034973732560184,1.2239456391271348,23.68572163581848
