,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime
X1,-1.5,-1.5103771344344716,0.5786505255144979,-2.610171541953658,0.009049683012063478,-2.644511333023969,-0.37624293584497415,118.82891297340393
X2,0.1,0.21440293812010786,1.5328675303484962,0.13987049361751666,0.888762314759213,-2.789962238131852,3.218768114372068,118.82891297340393
X3,-0.5,0.00027633087177831526,0.9034071307480671,0.00030587634563997656,0.9997559459901046,-1.7703691227377263,1.770921784481283,118.82891297340393
X4,-0.3,-0.6785664510939431,0.8090825039449827,-0.8386863487782024,0.4016453408158692,-2.2643390318559673,0.9072061296680811,118.82891297340393
X5,0.4,-0.3666543099770569,0.8105424937099233,-0.4523566781783992,0.6510120508328026,-1.955288418118733,1.2219797981646192,118.82891297340393
X6,-0.2,-0.553927589649628,0.4684979587800418,-1.182347925468113,0.2370676766218931,-1.472166722931994,0.3643115436327379,118.82891297340393
X7,-0.25,-0.3650384664085167,0.33120404168642964,-1.1021558328509775,0.2703939297218103,-1.0141864647684182,0.2841095319513847,118.82891297340393
X8,0.35,0.0015567159145184898,1.6587481051033797,0.000938488435784208,0.9992511946765155,-3.2495298551563216,3.252643286985359,118.82891297340393
X9,-0.1,-0.19205046702568723,0.9534024629228489,-0.20143693193000312,0.8403569395099483,-2.060684971865806,1.6765840378144314,118.82891297340393
X10,0.5,0.33937345868513247,0.7232547969381515,0.469230843849009,0.6389046409626733,-1.0781799061409547,1.7569268235112196,118.82891297340393
