,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime
X1,-1.5,0.9633189001655729,0.5135377044963574,1.875848436699171,0.0606760947351363,-0.043196513289925687,1.9698343136210714,19.26792335510254
X2,0.1,0.1726680789348088,0.9765970341501226,0.17680586044895386,0.859660885607476,-1.741426950506202,2.08676310837582,19.26792335510254
X3,-0.5,0.22687061978110862,0.7569549784924161,0.29971481293769126,0.7643946986664656,-1.2567338876848013,1.7104751272470184,19.26792335510254
X4,-0.3,0.3879518776993179,0.6827465960141696,0.5682223535996456,0.5698839947286886,-0.9502068716109981,1.7261106270096338,19.26792335510254
X5,0.4,0.1105349036162522,0.6961258092771735,0.1587858144938295,0.8738376254054637,-1.253846622037874,1.4749164292703782,19.26792335510254
X6,-0.2,0.19256656826800853,0.39842697648615244,0.4833170935520258,0.62887060478328,-0.5883359622736968,0.9734690988097139,19.26792335510254
X7,-0.25,0.5401142222870671,0.2621201366606145,2.0605598225610233,0.03934505310855952,0.02636819075718244,1.0538602538169517,19.26792335510254
X8,0.35,-0.07489335311277494,1.108109117129971,-0.06758662297333182,0.9461147043694266,-2.2467473307593013,2.0969606245337515,19.26792335510254
X9,-0.1,-0.06407167730693605,0.8287365753123475,-0.07731247686611116,0.9383749655126403,-1.6883655304024259,1.5602221757885537,19.26792335510254
X10,0.5,-0.2187809637611952,0.6143147440977127,-0.3561382269646388,0.7217370505415772,-1.4228157468619247,0.9852538193395342,19.26792335510254
