,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime
X1,-1.5,-0.19967749437039256,0.4380625092679329,-0.45581963794181596,0.6485196813203044,-1.0582642422852073,0.6589092535444223,24.798038721084595
X2,0.1,-0.34300173236602827,1.1258638631142857,-0.3046564896551888,0.7606277913326317,-2.549654372970956,1.8636509082388995,24.798038721084595
X3,-0.5,-0.09665741191686204,0.7830200130061155,-0.12344181542152632,0.9017572463408073,-1.63134844868838,1.4380336248546561,24.798038721084595
X4,-0.3,-0.3086557712213935,0.6083066845775011,-0.5074015772747427,0.6118730792345664,-1.500914973952651,0.883603431509864,24.798038721084595
X5,0.4,-0.047791189293617975,0.5133043071652955,-0.0931049839763533,0.9258201579970856,-1.0538491523825393,0.9582667737953032,24.798038721084595
X6,-0.2,-0.18339890505475628,0.28846905511706017,-0.6357663042239777,0.5249287529292113,-0.7487878681982101,0.38199005808869746,24.798038721084595
X7,-0.25,-0.4328204295886951,0.20297387972833847,-2.1323947207787755,0.032974411025435905,-0.8306419267965683,-0.03499893238082191,24.798038721084595
X8,0.35,-0.6003000790486396,1.0059647581778302,-0.5967406652853351,0.5506805380252671,-2.571954790345892,1.3713546322486132,24.798038721084595
X9,-0.1,-0.03299292106867952,0.7026981884964117,-0.04695176621883094,0.9625516700798149,-1.4102560733868605,1.3442702312495016,24.798038721084595
X10,0.5,0.8522976773338051,0.555966668991303,1.5330013917563423,0.1252755119942425,-0.23737697908906497,1.9419723337566752,24.798038721084595
