,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime
X1,-1.5,0.3850053617415273,0.10878192220831524,3.5392402885127328,0.00040128040684632394,0.17179671036242888,0.5982140131206257,234.3593029975891
X2,0.1,0.12439688193456264,0.21205717703086494,0.5866195319409381,0.5574592618105221,-0.2912275509875595,0.5400213148566848,234.3593029975891
X3,-0.5,-0.49242897448590683,0.14663336628148635,-3.3582327608888836,0.0007844252973368095,-0.7798250935964339,-0.20503285537537974,234.3593029975891
X4,-0.3,-0.5481044836301233,0.13241301553447898,-4.139355043140775,3.482835848905415e-05,-0.8076292272091429,-0.28857974005110376,234.3593029975891
X5,0.4,0.25390183225687274,0.13369915440533814,1.8990533888278305,0.057557456720532085,-0.00814369720803143,0.5159473617217769,234.3593029975891
X6,-0.2,-0.20553577369369883,0.06824578127637325,-3.011699329242722,0.0025978977733507468,-0.3392950481472644,-0.07177649924013321,234.3593029975891
X7,-0.25,-0.2221795229331831,0.04594682981504492,-4.835578946959953,1.3275867063322142e-06,-0.3122336552847978,-0.1321253905815684,234.3593029975891
X8,0.35,0.10595568101202393,0.23207339185014839,0.45656109115878457,0.6479865510136685,-0.3488998123721603,0.5608111743962082,234.3593029975891
X9,-0.1,-0.1805787432201313,0.16629884748702606,-1.085868879724012,0.27753700697190586,-0.5065184975361928,0.14536101109593025,234.3593029975891
X10,0.5,0.4313436235535022,0.11852662625187761,3.6392128688187406,0.00027347267352124233,0.19903570305836715,0.6636515440486372,234.3593029975891
