,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime
X1,-1.5,-0.32740979322083247,0.39262679309122434,-0.8338956968348334,0.4043397623298093,-1.0969441731150809,0.442124586673416,123.02822399139404
X2,0.1,-68.71065661068918,559265086942736.75,-1.2285883423601675e-13,0.999999999999902,-1096139436864702.9,1096139436864565.4,123.02822399139404
X3,-0.5,-0.6388409109924559,0.8712644379168828,-0.7332342319857204,0.46341558008320716,-2.3464878437897814,1.0688060218048694,123.02822399139404
X4,-0.3,-1.238269886190746,0.734242202923153,-1.6864597012552074,0.09170729073991178,-2.6773581712008205,0.20081839881932884,123.02822399139404
X5,0.4,0.945630988237909,0.7021555812319263,1.346754214470256,0.17805940518080388,-0.43056867337574234,2.3218306498515604,123.02822399139404
X6,-0.2,-0.026524427173019862,0.3036774801356244,-0.08734407029844253,0.9303980248174992,-0.6217213558495588,0.5686725015035191,123.02822399139404
X7,-0.25,0.018218832131780525,0.2364610175339723,0.07704793086734911,0.9385854149448147,-0.44523624963817393,0.48167391390173503,123.02822399139404
X8,0.35,0.04871421278868361,1.1362798401701781,0.042871668638764016,0.9658038331296467,-2.1783533678706197,2.2757817934479867,123.02822399139404
X9,-0.1,1.51589754115866,0.8659313458564328,1.7505978371292132,0.08001520810929635,-0.1812967231914977,3.2130918055088173,123.02822399139404
X10,0.5,0.4978965004195376,0.5957454050087552,0.8357538240890342,0.40329340853820717,-0.6697430465630422,1.6655360474021172,123.02822399139404
