,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime,Steps
X1,-1.5,22.32582043901873,3.7931803699474664,5.885778755975143,3.961840106604352e-09,14.891323468415015,29.760317409622445,40.26081109046936,1
X2,0.1,-0.8875498482847197,1.0772962617571835,-0.8238679366036531,0.4100146006501537,-2.999011738663376,1.2239120420939367,40.26081109046936,1
X3,-0.5,-17.63300095774296,3.0583513063682766,-5.765525013763626,8.140402683698348e-09,-23.627259417577754,-11.638742497908169,40.26081109046936,1
X4,-0.3,-30.849319802991673,5.25090747924519,-5.8750453945203045,4.227274940051187e-09,-41.14090942964299,-20.557730176340353,40.26081109046936,1
X5,0.4,-2.5335034011783075,0.877034803313853,-2.888714782589621,0.003868197569192799,-4.25246004242054,-0.814546759936075,40.26081109046936,1
X6,-0.2,-5.283901138863865,0.9909884706168386,-5.33195016444027,9.716360693531904e-08,-7.226202865687926,-3.341599412039803,40.26081109046936,1
X7,-0.25,-10.565599084232009,1.819219412916336,-5.807765137738176,6.331224272152666e-09,-14.131203641649162,-6.999994526814856,40.26081109046936,1
X8,0.35,-54.246833367178816,9.190326809324247,-5.902601125363844,3.5781465180080352e-09,-72.2595430616892,-36.23412367266843,40.26081109046936,1
X9,-0.1,16.114896108369965,2.8355757156125434,5.68311261083318,1.3226511497714859e-08,10.557269786495143,21.67252243024479,40.26081109046936,1
X10,0.5,0.24073691883211146,0.5737507195089449,0.41958451753777426,0.6747890006410269,-0.8837938363795182,1.365267674043741,40.26081109046936,1
