,Truth,0.975],Coef,P-value,Std.Err,[0.025,z,RunTime,Steps
X1,-1.5,0.5846163534404084,0.48830318948155166,2.875675278668407e-23,0.04914027194318709,0.3919900255226949,9.936924851496492,515.1959404945374,62
X2,0.1,0.048649169167532674,-0.150957745963459,0.1382679270340774,0.10184213339173152,-0.3505646610944507,-1.4822720315844753,515.1959404945374,62
X3,-0.5,-0.6677327823130316,-0.8003738712464447,2.8415348401414985e-32,0.06767526798115327,-0.9330149601798577,-11.826681964072,515.1959404945374,62
X4,-0.3,-0.3561022402555068,-0.4770742594500189,1.080038059383707e-14,0.0617215516175359,-0.5980462786445311,-7.729459920357477,515.1959404945374,62
X5,0.4,0.5361073929046424,0.41283550230964894,5.242304203340139e-11,0.0628949769460018,0.2895636117146555,6.563886694228174,515.1959404945374,62
X6,-0.2,-0.10796491131130047,-0.16831984630540292,4.602714588692542e-08,0.030793899782905428,-0.22867478129950536,-5.466012667835013,515.1959404945374,62
X7,-0.25,-0.3488497827549704,-0.39228965490414297,4.213923594862036e-70,0.02216360716277061,-0.4357295270533155,-17.699720628648063,515.1959404945374,62
X8,0.35,0.8879819879858137,0.6764381382637396,3.675222268225764e-10,0.10793251800649106,0.4648942885416653,6.267232070163123,515.1959404945374,62
X9,-0.1,-0.14357634478988165,-0.29351834479839634,0.0001246887721429832,0.07650242555909939,-0.443460344806911,-3.8367194589359594,515.1959404945374,62
X10,0.5,0.8410565193460389,0.7349929153818144,5.1183825952419457e-42,0.054115077605621544,0.62892931141759,13.582035689540662,515.1959404945374,62
