,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime,Steps
X1,-1.5,-0.999405642548869,0.3596143048748848,-2.77910424863821,0.005450902849160962,-1.704236733988668,-0.29457455110907016,158.5986669063568,0
X2,0.1,1.3897431828715836,0.7305290693523002,1.9023790307259834,0.0571216203905812,-0.04206749401242815,2.8215538597555954,158.5986669063568,0
X3,-0.5,0.4735472934613085,0.48406787164004117,0.9782663159546439,0.3279426249791083,-0.4752083085097931,1.4223028954324102,158.5986669063568,0
X4,-0.3,-8.479637017602657,1.101149871268897,-7.700711082889424,1.3531111785347026e-14,-10.637851123894329,-6.321422911310985,158.5986669063568,0
X5,0.4,2.843333891136702,0.5939666952461691,4.787025794364252,1.6927108558814047e-06,1.6791805512552396,4.007487231018165,158.5986669063568,0
X6,-0.2,5.030722277014557,0.6332939781316201,7.943739322859945,1.961756454396712e-15,3.789488878459794,6.27195567556932,158.5986669063568,0
X7,-0.25,-5.448173273751286,0.6587948624446068,-8.269908562332455,1.34061791780475e-16,-6.739387487527668,-4.156959059974905,158.5986669063568,0
X8,0.35,-29.228988819533402,3.565178733184475,-8.19846380981455,2.4347834127354515e-16,-36.21661079014058,-22.241366848926226,158.5986669063568,0
X9,-0.1,19.265959639647342,2.3224688650729592,8.295465196275995,1.0816109102597745e-16,14.714004272983484,23.8179150063112,158.5986669063568,0
X10,0.5,0.7079774689210405,0.41558109650007147,1.7035843903475498,0.08845875973696293,-0.10654651929962555,1.5225014571417066,158.5986669063568,0
