,Truth,Coef,Std.Err,z,P-value,[0.025,0.975]
X1,-1.5,0.1340220157065665,0.10416314119907236,1.2866548969604237,0.19821460024498216,-0.07013399117053215,0.33817802258366514
X2,0.1,0.06884678112560132,0.21660188342433587,0.3178494112663204,0.7505991679523147,-0.35568511271829373,0.4933786749694964
X3,-0.5,-0.2726546856474799,0.1428953138049845,-1.9080729688559537,0.05638178586523479,-0.5527243564739526,0.007414985178992695
X4,-0.3,-0.3054823792378249,0.13097410563320805,-2.3323875949443464,0.01968031010908186,-0.5621869112111099,-0.04877784726453993
X5,0.4,0.3741381135366232,0.1300498637166243,2.876882011594119,0.004016257356552889,0.11924506244713334,0.6290311646261131
X6,-0.2,-0.22613899057302694,0.06738409568516254,-3.355969806727272,0.0007908720253266495,-0.3582093922885009,-0.09406858885755301
X7,-0.25,-0.1386414268760811,0.043169081751474804,-3.2115908249853993,0.0013200223718880294,-0.22325127302202868,-0.05403158073013355
X8,0.35,0.1559028855772336,0.23072224746788775,0.6757167429158837,0.49922050371093807,-0.29630441345891756,0.6081101846133847
X9,-0.1,-0.29582301199302846,0.1654711302963076,-1.787762079483599,0.07381440124423946,-0.6201404704131007,0.028494446427043796
X10,0.5,0.3704197172438206,0.11523439587442304,3.2144891673445,0.0013067684545812444,0.14456444976820293,0.5962749847194383
