,Truth,Coef,Std.Err,z,P-value,[0.025,0.975]
X1,-1.5,0.4282530449493586,0.10689593455346574,4.006261292707637,6.168740647299898e-05,0.21874086147820967,0.6377652284205075
X2,0.1,-0.21421418376778145,0.21150909151529532,-1.0127894845233663,0.31116072448665655,-0.6287643888104657,0.20033602127490285
X3,-0.5,-0.2102658990902551,0.14196209930371673,-1.4811410941480074,0.1385689792424422,-0.4885065030899649,0.06797470490945476
X4,-0.3,-0.28856055802741326,0.13148078897788243,-2.1946974936083983,0.02818530464962388,-0.5462581711156596,-0.030862944939166914
X5,0.4,0.17937541106978905,0.13223292937374917,1.3565109078298812,0.17493666716894352,-0.0797963701173019,0.43854719225688
X6,-0.2,-0.05262563998478844,0.06606371323328292,-0.7965891926019627,0.42568965609000986,-0.18210813962834657,0.07685685965876968
X7,-0.25,-0.26777645943882983,0.04429375293462323,-6.045467852635178,1.4897705456743842e-09,-0.3545906206155857,-0.18096229826207394
X8,0.35,0.2227051631606235,0.22955857418096928,0.9701452622939581,0.3319740904672558,-0.22722137812540577,0.6726317044466528
X9,-0.1,0.04817788300433491,0.16226490302059499,0.29690883307168453,0.7665361122905033,-0.26985548537952253,0.3662112513881923
X10,0.5,0.37007848550019473,0.11295262027754106,3.2764046074438813,0.0010513782253304873,0.14869541605054423,0.5914615549498452
