,Truth,Coef,Std.Err,z,P-value,[0.025,0.975]
X1,-1.5,-0.31820727609865146,0.10565337947510774,-3.0118040490472158,0.0025970017844134377,-0.5252840963482015,-0.11113045584910139
X2,0.1,0.15635372792868288,0.21901839351680466,0.713884004982834,0.475298908753107,-0.27291443870208765,0.5856218945594535
X3,-0.5,-0.2776984973761571,0.15600748646411722,-1.7800331488580814,0.07507053586241526,-0.5834675545763142,0.028070559823999974
X4,-0.3,-0.26401818551667267,0.135080532251589,-1.9545243205359588,0.05063924153701409,-0.528771165830626,0.0007347947972807245
X5,0.4,0.3677199228506954,0.13887032973087213,2.647937277626755,0.008098454912310368,0.09553907591005634,0.6399007697913344
X6,-0.2,-0.09937990014183591,0.06730051119566702,-1.4766589194679736,0.1397670893132997,-0.23128647926694024,0.0325266789832684
X7,-0.25,-0.2185126261837531,0.045717964739567664,-4.779579043566573,1.7566260138624098e-06,-0.30811819122657513,-0.12890706114093112
X8,0.35,0.4474413445969047,0.2359414240742509,1.8964085952795413,0.05790603618895407,-0.014995352697360353,0.9098780418911698
X9,-0.1,0.030533102019845132,0.1678158194763764,0.1819441225214367,0.8556265775858607,-0.29837986278435147,0.3594460668240417
X10,0.5,0.5463376507002164,0.11882534788228329,4.597820754890251,4.269330452491908e-06,0.313444246563465,0.7792310548369679
