,Truth,Coef,Std.Err,z,P-value,[0.025,0.975]
X1,-1.5,-0.8545615951084515,0.5300323752472048,-1.61228188129053,0.1069006142423958,-1.893405969427464,0.18428277921056102
X2,0.1,-702.3627368923768,1.0085060691181538e+152,-6.964387804889748e-150,1.0,-1.9766355892530932e+152,1.9766355892530932e+152
X3,-0.5,-1.2282892527797373,0.8036483281935962,-1.528391473843577,0.12641537046060594,-2.803411044699371,0.3468325391398963
X4,-0.3,0.42751758749940855,0.7579444784034519,0.564048686521128,0.5727209985004997,-1.0580263041701348,1.913061479168952
X5,0.4,-0.17326851780901517,0.7311624986340917,-0.2369767570583881,0.8126748219049572,-1.606320693281884,1.2597836576638537
X6,-0.2,-0.5348780595619461,0.3466815830074171,-1.5428510938537587,0.12286690923200476,-1.2143614817194952,0.14460536259560308
X7,-0.25,-0.4393570475129147,0.28088763883385454,-1.5641736650888902,0.11777678997944527,-0.9898867076722716,0.11117261264644218
X8,0.35,1.9155176500941204,1.5158484953898395,1.26366035650647,0.20635195996326838,-1.0554908303241308,4.8865261305123715
X9,-0.1,0.39126548491644403,0.859095181125536,0.4554390404143939,0.6487934140122951,-1.292530142663086,2.075061112495974
X10,0.5,1.8319771027660974,0.8204040861321973,2.233018013602261,0.025547756488309096,0.22401462849409137,3.4399395770381034
